property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
","








2

","
KILIMANI, NEW EXECUTIVE 2 BEDROOM APARTMENT FO...
",Splendor Holdings,"
KSh 10,000,000
"
"
Residential land for sale in Lower Kabete
","

Lower Kabete, Westlands

",-,-,-,"
SERVICED RESIDENTIAL PLOTS FOR SALE IN LOWER KA...
",-,"
KSh 3,600,000
"
"
2 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
2
","








3

","
2 bedroom apartment for sale in lavington
",Sarabi Realty Group,"
KSh 8,000,000
"
"
1 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
1
","








1

","
1 bedroom apartment for sale in lavington
",Sarabi Realty Group,"
KSh 4,200,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

KILELESHWA, KILELESHWA, Kileleshwa, Dagoretti North
 
","
211 m²
","
3
","








5

","
EXQUISITE 3 BEDROOM PLUS AN EN SUITE D SQ FOR S...
",Round The Clock Homes,"
KSh 19,900,000
"
"
4 bedroom apartment for sale in Kileleshwa
","

KILELESHWA, KILELESHWA, Kileleshwa, Dagoretti North

","
211 m²
","
4
","








5

","
MODERN AND AFFORDABLE 4 BEDROOM ALL ENSUITE PLU...
",Round The Clock Homes,"
KSh 21,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

KILELESHWA, KILELESHWA, Kileleshwa, Dagoretti North

","
177 m²
","
3
","








6

","
AFFORDABLE 3 BEDROOM PLUS D SQ EN SUITE FOR SA...
",Round The Clock Homes,"
KSh 15,500,000
"
"
3 bedroom apartment for sale in Riverside
","

Riverside, Westlands

",-,"
3
","








4

","
A New Project, 3 bedroom Duplex apartment for s...
",Ge-Mac Property Solutions,"
KSh 44,000,000
"
"
4 bedroom apartment for sale in Riverside
","

Riverside, Westlands

",-,"
4
","








5

","
NEWLY BUILT Duplex apartment with 4 bedrooms fo...
",Ge-Mac Property Solutions,"
KSh 54,000,000
"
"
Furnished 2 bedroom apartment for sale in Waiyaki Way
","

Church road, Waiyaki Way, Westlands

",-,"
2
","








2

","
Serviced Apartments in Westlands
",-,"
KSh 20,300,000
"
"
4 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North
 
","
169 m²
","
4
","








3

","
Spacious 4 bedroom apartment plus DSQ for sale...
",Abode Realty,"
KSh 16,500,000
"
"
3 bedroom apartment for sale in Kilimani
","

Kindaruma, Kilimani, Dagoretti North

",-,"
3
","








3

","
3 bedrooms master En-suite ready for occupation
",Abode Realty,"
KSh 15,000,000
"
"
1 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
50 m²
","
1
","








1

","
1 BEDROOM APARTMENT IN KILIMANI.
",Abode Realty,"
KSh 5,500,000
"
"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
146 m²
","
3
","








3

","
MODERN 3 BEDROOM FOR SALE IN KILIMANI FOR SALE
",Abode Realty,"
KSh 14,500,000
"
"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
140 m²
","
3
","








4

","
Spacious 3 bedroom apartment in Kilimani
",Abode Realty,"
KSh 12,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Tinderet road, Kileleshwa, Dagoretti North

","
2400 m²
","
3
","








4
 
","
spacious 3 bedrooms apartment for sale in kilel...
",Abode Realty,"
KSh 22,000,000
"
"
60 ft² commercial property for sale in Ngong Road
","

TOI MALL ADAMS NGONG ROAD, JAMES KANGETHE ROAD ADAMS, Ngong Road, Ngong Road

","
60 ft²
",-,-,"
STANMER MALL NGONG ROAD ADAMS
",Candour Properties Kenya Limited,"
KSh 2,650,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kirichwa Road, Kilimani, Dagoretti North

","
109 m²
","
2
","








3

","
Kirichwa Place
",Sakile Properties,"
KSh 11,000,000
"
"
2 bedroom apartment for sale in Westlands Area
","

Nairobi, David Osieli, Westlands Area, Westlands

",-,"
2
","








2

","
 Studio, 1,2,3 Bed Apartments & 4 Bed Penthouses...
",Coral Property International Ltd,"
KSh 14,500,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kindaruma, Kilimani, Dagoretti North

","
100 m²
","
2
","








2

","
Spacious 2 bedrooms apartment for sale in Kilim...
",Abode Realty,"
KSh 8,500,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Laikipia Road, Kileleshwa, Dagoretti North

",-,"
2
",-,"
Elegant 3 Bedroom Apartments For Sale In Kilele...
",Coral Property International Ltd,"
KSh 22,500,000
"
"
3 bedroom apartment for sale in Kilimani
","

kilimani, Kilimani, Dagoretti North

","
165 m²
","
3
","








4

","
MODERN 3 BEDROOMS APARTMENT FOR SALE IN KILIMAN...
",Abode Realty,"
KSh 12,800,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
100 m²
","
2
","








2

","
2 BEDROOMS APARTMENT (READY FOR OCCUPATION) IN...
",Abode Realty,"
KSh 8,500,000
"
"
7747 ft² warehouse for sale in Mombasa Road
","

Maasai Road, Mombasa Road, Mombasa Road

","
7747 ft²
",-,-,"
Warehouse For Sale in Mombasa Road(Off ICD Road...
",Royalgen Estates,"
KSh 36,000,000
"
"
0.5 ac residential land for sale in Runda
","

Riviera, Runda, Westlands

",-,-,-,"
Beautiful Half acre plot
",Rayalink Properties,"
KSh 30,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Laikipia rd, Kileleshwa, Dagoretti North

","
120 m²
","
3
","








3

","
MODERM READY FOR OCCUPATION 3 BEDROOM APARTMENT...
",Abode Realty,"
KSh 10,500,000
"
"
5000 ft² residential land for sale in Ruai
","

Infinity Park, Infinity Park, Ruai, Kasarani

","
5000 ft²
",-,-,"
Eastern Bypass, 50 By 100 Infinity Park Plots F...
",Kenya Homes,"
KSh 1,950,000
"
"
2023 m² residential land for sale in Runda
","

Runda, Westlands

","
2023 m²
",-,-,"
Ideal 1/2 Acre Plots(8 Acres) For Sale In Runda...
",LIflac Properties,"
KSh 27,000,000
"
"
Land for sale in Naivasha Road
 ","

Karandini Market, Nairobi, Naivasha Road, Dagoretti North

",-,-,-,"
0.033HA / 0.0815 Acre Commercial cum Residentia...
",HomePlus Realtors Ltd,"
KSh 17,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
155 m²
","
3
","








3

","
3 BEDROOMS APARTMENT + DSQ IN KILELESHWA
",Abode Realty,"
KSh 16,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Off Othaya rd, Kileleshwa, Dagoretti North

","
155 m²
","
3
","








3

","
SPACIOUS 3 BEDROOMS WITH DSQ FOR SALE IN KILELE...
",Abode Realty,"
KSh 16,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
 ","

Kileleshwa, Dagoretti North

","
99 m²
","
2
 ","








2

","
2 bedrooms apartment for sale
",Abode Realty,"
KSh 6,990,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








3

","
3 bedroom apartment for sale in Kileleshwa (Ken...
",Pam Golding Properties,"
KSh 26,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Othaya Road, Kileleshwa, Dagoretti North

","
120 m²
","
3
","








3

","
New Apartment 🔥 3 Bedrooms 120 Sqm Ksh. 10.5M F...
",Sir Francis Marketing & Consultants Ltd,"
KSh 10,500,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kindaruma Road, Kilimani, Dagoretti North

",-,"
2
","








2

","
HEARTLAND GARDEN
",Heartland Homes Nairobi Co. Limited,"
KSh 9,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Othaya Rd, Kileleshwa, Dagoretti North

","
177 m²
","
3
","








4

","
Modern 3 BR + DSQ Apartment in Kileleshwa
 ",Prima Properties Ke,"
KSh 17,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








3

","
3 bedroom apartment for sale in Kileleshwa (Ken...
",Pam Golding Properties,"
KSh 22,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Kileleshwa, Dagoretti North

","
177 m²
","
3
","








4

","
3 Bedrooms + Sq 179 Sqm Ksh. 15.5M Offer in Kil...
",Sir Francis Marketing & Consultants Ltd,"
KSh 15,500,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
","








3

","
Ultra-modern Apartment for Sale - Kilimani
",Realty Plus,"
KSh 15,500,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
100 m²
","
2
","








2

","
Modern 2 bedroom for sale.
",Round The Clock Homes,"
KSh 9,500,000
"
"
2 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

","
169 m²
","
2
","








3

","
spacious 2 bedrooms apartment +dsq for sale in...
",Kenya Classic Homes,"
KSh 10,000,000
"
"
4 bedroom apartment for sale in Lavington
","

Valley Arcade, Lavington, Dagoretti North

","
232 m²
","
4
","








6

","
4 Bedrooms + Sq 232 Sqm Ksh. 20M Apartment FOR...
",Sir Francis Marketing & Consultants Ltd,"
KSh 20,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kamirembe Place, Kilimani, Dagoretti North

","
12 m²
","
2
","








2

","
Kamirembe Place-2 &3 Bedroom Apartments plus DS...
",Crystal Valuers LTD,"
KSh 12,500,000
"
"
1 bedroom apartment for sale in Valley Arcade
","

Valley Arcade, Valley Arcade, Dagoretti North

",-,"
1
","








1

","
1 Bedroom Apartment for Sale in Lavington
",Sky Limits Ventures,"
KSh 5,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Near Kasuku Center, Kileleshwa, Dagoretti North

","
2300 ft²
","
3
","








3

","
An ultra-modern 3 bedroom master en-suite _ Dsq...
",Yellow Market,"
KSh 23,000,000
"
"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
","








3

","
3 Bedroom Apartment For Sale In Lavington
",Origin Homes,"
KSh 19,000,000
"
"
Land for sale in Upper Hill
","

Upper Hill, Langata

",-,-,-,"
Half acre plot in Upperhill
",Edlon Group Limited,"
KSh 250,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
2265 ft²
","
3
","








4

","
BEAUTIFUL AND NEWLY BUILT 3 BEDROOM APARTMENTS...
",A1 Properties Ltd,"
KSh 21,500,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
90 m²
","
2
","








2

","
2 bedrooms in Kilimani, READY FOR OCCUPATION
",Abode Realty,"
KSh 7,300,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
119 m²
","
2
","








3

","
Stylish 2 bedroom apartments in Kileleshwa
",A1 Properties Ltd,"
KSh 16,700,000
"
"
5 bedroom house for sale in Old Muthaiga
","

Old Muthaiga, Muthaiga

",-,"
5
",-,"
OLD MUTHAIGA:PRISTINE 5BEDROOM RESIDENCE FOR SA...
",Jubilee Real Estate,"
KSh 350,000,000
"
"
3 bedroom apartment for sale in Kilimani
","

Dennis Pritt, Kilimani, Dagoretti North

","
120 m²
","
3
","








2

","
Denis Gardens by Ever Forgarden Company Limited...
",Ever Forgarden Company Limited,"
KSh 10,200,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Tabere Lane, Kileleshwa, Dagoretti North

","
126 m²
","
3
","








3

","
3 bedroom+DSQ-Alina Ridge
",Wonder Properties,"
KSh 11,000,000
"
"
4 bedroom apartment for sale in Westlands Area
","

General Mathenge, Westlands Area, Westlands

",-,"
4
",-,"
GREENVILLE GARDENS –GENERAL MATHENGE
",Primofort Investment,"
KSh 25,400,000
"
"
1 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
1
","








1

","
1 Bedroom apartment for sale in Kilimani - at C...
",Upper Deck Homes,"
KSh 5,500,000
"
"
3 bedroom apartment for sale in Kiambu Road
","

Kiambu Road, Kiambu Road, Kiambu Road

",-,"
3
","








3

","
3 bedroom apartment for sale in Kiambu Road (Ke...
",Pam Golding Properties,"
KSh 10,950,000
"
"
3 bedroom apartment for sale in Kilimani
","

Valley Arcade, Kilimani, Dagoretti North

",-,"
3
","








2

","
Beautiful three bedroom apartment
",Rayalink Properties,"
KSh 19,000,000
"
"
3 bedroom apartment for sale in Kilimani
","

Crestpark Kilimani, Kilimani, Dagoretti North

","
140 ft²
","
3
","








3

","
3 Bedroom Apartments For Sale -DENNIS PRITT ROA...
",Crystal Valuers LTD,"
KSh 15,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Mugoiri Rd, Kileleshwa, Dagoretti North

","
150 m²
","
 3
","








4

","
3 BR apartments (master en-suite plus DSQ) alon...
",Prima Properties Ke,"
KSh 16,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

kileleshwa, Kileleshwa, Dagoretti North

","
177 m²
","
3
","








4

","
3 Bedrooms + Sq 177 Sqm Ksh. 15.5M For Sale in...
",Sir Francis Marketing & Consultants Ltd,"
KSh 15,500,000
"
"
18212 m² commercial land for sale in Embakasi Estate
","

Eastern Bypass Rd, Embakasi Estate, Embakasi

","
18212 m²
",-,-,"
4.5 Acres Prime Plot For Sale in Eastern Bypass
",Simkar Group Limited,"
KSh 202,500,000
"
"
3 ac commercial land for sale in Karen
","

Karen, Langata

","
3 ac
",-,-,"
3 acres commercial vacant land for sale in Kare...
",Pam Golding Properties,"
KSh 240,000,000
"
"
2 bedroom apartment for sale in Karura
","

Karura, Westlands

",-,"
2
","








3

","
New 2 Bedroom For Sale - &#34; Good Deal&#34;
",Origin Homes,"
KSh 16,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
2
 ","








3

","
2 Bedroom Master En suite for Sale in Kileleshw...
",Trisums Investments Company Ltd,"
KSh 10,600,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

kileleshwa, kileleshwa, Kileleshwa, Dagoretti North

","
95 m²
","
2
","








2

","
2 BEDROOM APARTMENT FOR SALE IN KILELELSHWA WIT...
",Laser Property Services Ltd,"
KSh 9,500,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Kileleshwa, Dagoretti North

","
95 m²
","
2
","








2

","
EXQUISITE 2BR APARTMENT
",Balis Properties,"
 KSh 11,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Gatundu road, Kileleshwa, Dagoretti North

",-,"
2
","








2

","
Stunning two bedrooms for sale in Kileleshwa
",Calmillers Holding Ltd,"
KSh 15,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
",-,"
Kileleshwa, New Apartments & Penthouses – FOR S...
",FAPCL Group,"
KSh 22,000,000
"
"
3 bedroom apartment for sale in Parklands
","

Nairobi, Parklands, Westlands

","
3000 ft²
","
3
","








3

","
3 Bedroom All En-suite Unfurnished Apartment Fo...
",Coral Property International Ltd,"
KSh 36,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








3

","
Luxurious 3/4Br apartments - located in Kileles...
",Upper Deck Homes,"
KSh 10,500,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
","








2

","
Brand new 2 bedroom apartment
",Citywing Consult,"
KSh 7,500,000
"
"
3 bedroom apartment for sale in Westlands Area
","

Off Rhapta Road, Nairobi, Westlands Area, Westlands

",-,"
3
","








3

","
3 Bedroom Apartment For Sale Off Rhapta Road In...
",Coral Property International Ltd,"
KSh 23,500,000
"
"
4047 m² commercial land for sale in Ngong Road
","

Ngong Road, Ngong Road

","
4047 m²
",-,-,"
Commercial Land For Sale In Ngong Road
",Edlon Group Limited,"
KSh 480,000,000
"
"
3 bedroom apartment for sale in Riverside
","

Riverside, Westlands

",-,"
3
","








3

","
Spacious three bedroom apartment with an sq in...
",Jakharris Africa Ltd,"
KSh 25,000,000
"
"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








2

","
Kilimani 3 Bedroom Apartment
",Afrique Properties Limited,"
KSh 21,000,000
"
"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
","








3

","
3 Bedroom apartment Lavington
",Edlon Group Limited,"
KSh 18,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
170 m²
","
3
","








4

","
3 Bedroom Apartment with a DSQ for Sale in Kile...
",Ring Kenya Ltd,"
KSh 21,000,000
"
"
0.3 ac land for sale in Runda
","

Runda, Westlands

",-,-,-,"
IDEAL 0.3 ACRE LAND FOR SALE!!
",Pam Golding Properties,"
KSh 25,000,000
"
"
2 bedroom apartment for sale in Westlands Area
","

Westlands Area, Westlands

","
133 m²
","
2
",-,"
Spacious 2 bedroom in Westlands
",VAAL Real Estate,"
KSh 15,500,000
"
"
4 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Kileleshwa, Dagoretti North

","
265 m²
","
4
","








5

","
LUXE 4BR & 5BR ALL ENSUITE PLUS DSQ
",Balis Properties,"
KSh 24,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
79 m²
","
2
","








2

","
Affordable 2 Bedroom Apartment Master Ensuite;O...
",Peech Limited,"
KSh 7,500,000
"
"
234 m² commercial land for sale in Kayole
","

Peakcock Stage, Kayole, Embakasi

","
234 m²
",-,-,"
Plot for sale
",Links Properties,"
KSh 8,500,000
"
"
3 bedroom apartment for sale in Lavington
","

929w, Lavington Estate, Hatheru Road, Lavington, Dagoretti North

","
1800 ft²
","
3
","








5

","
Extraordinary three bedroom apartment in Laving...
",Ace Realtors Limited,"
KSh 15,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
",-,"
Two Bedroom For Sale - Kilimani
",PMC Estates Limited,"
KSh 13,000,000
"
"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








4

","
Desirable Furnished 3 Bedroom Apartment to Let...
",Realty Plus,"
KSh 22,000,000
"
"
3 bedroom apartment for sale in Lavington
","

Othaya road, Lavington, Dagoretti North

","
179 m²
","
3
","








3

","
3 Bedrooms all ensuite with DSQ for Sale
",Abode Realty,"
KSh 16,500,000
"
"
3 bedroom apartment for sale in Karen
","

Karen, Langata

",-,"
3
","








4

","
Executive 3 bedrooms green heights apartments
",Joslink Property Group,"
KSh 18,000,000
"
"
3 bedroom apartment for sale in Kilimani
","

Muringa Road, Kilimani, Dagoretti North

","
165 m²
","
3
","








 2

","
EXQUISITE 2,3& 4 Bed Apartments For Sale In KI...
",Crystal Valuers LTD,"
KSh 16,500,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
100 m²
","
2
","








2

","
2 BEDROOM APARTMENT FOR SALE IN KILIMANI (NEW...
",Splendor Holdings,"
KSh 9,500,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Kileleshwa, Dagoretti North

","
1700 ft²
","
2
","








3

","
APARTMENT FOR SALE IN KILELESHWA ,NAIROBI
",Property City,"
KSh 15,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kindaruma Road, Kilimani, Dagoretti North

","
1134 ft²
","
2
","








2

","
Jade Residency
",Eastwood Consulting Ltd,"
KSh 13,500,000
"
"
3 bedroom apartment for sale in Ngong Road
","

Ngong Road, Ngong Road

","
113 m²
","
3
",-,"
Cozy 3 Bedroom
",VAAL Real Estate,"
KSh 11,670,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Laikipia Road, Kileleshwa, Dagoretti North

",-,"
2
","








2

","
AVIC PARK
",Avic Park,"
KSh 25,000,000
"
"
4 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
4
","








5

","
4 Bedrooms Apartment For sale Kileleshwa
",Naftal Properties,"
KSh 28,500,000
"
"
3 bedroom apartment for sale in Valley Arcade
","

Off Gitanga Road, Valley Arcade, Dagoretti North

",-,"
3
",-,"
3 Bedroom Apartment For Sale. Valley Arcade
",First Villas,"
KSh 23,500,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
 2
",-,"
2 BED KILIMANI APARTMENT
",Splendour Real Estate,"
KSh 22,000,000
"
"
7285 m² commercial property for sale in Cbd
","

Jakaya Kikwete, Cbd, Starehe

","
7285 m²
",-,-,"
Prime commercial property for sale in popular l...
",Property Zone East Africa,"
KSh 800,000,000
"
"
2 bedroom apartment for sale in Valley Arcade
","

Valley Arcade, Dagoretti North

",-,"
2
","








2

","
CITY OASIS APARTMENT FOR SALE
",Golden Oak Properties & Developers,"
KSh 7,500,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kindaruma Road, Kilimani, Dagoretti North

",-,"
2
",-,"
2, 3 & 4 Bedroom Apartments (OFF PLAN) For Sal...
",FAPCL Group,"
KSh 13,500,000
"
"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








3

","
HOMELY 3BEDROOM APARTMENT ON SALE IN KILIMANI
",Canaan Properties,"
KSh 20,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Oloitotok road, Kileleshwa, Dagoretti North

","
114 m²
","
2
","








2

","
2 bedroom Hotel Apartment
",Peech Limited,"
KSh 13,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Laikipia Rd., Kileleshwa, Dagoretti North

","
120 m²
","
3
","








3

","
Upscale 3 BR (2 en suite) Apartment in the ser...
",Prima Properties Ke,"
KSh 11,500,000
"
"
Furnished 3 bedroom apartment for sale in Spring Valley
","

Brookside Drive, Spring Valley, Westlands

","
2000 ft²
","
3
","








4

","
By owner, Furnished 3 bedroom apartment for sal...
",-,"
KSh 25,000,000
"
"
2 bedroom apartment for sale in Westlands Area
","

General Mathenge, Westlands Area, Westlands

",-,"
2
",-,"
GREENVILLE GARDENS –GENERAL MATHENGE
",Primofort Investment,"
KSh 12,500,000
"
"
3 bedroom apartment for sale in Westlands Area
","

Westlands Area, Westlands

",-,"
3
",-,"
Modern and Secure 3 Bedroom Apartment in Westla...
",Pam Golding Properties,"
KSh 27,000,000
"
"
1 ac land for sale in Lavington
","

Amboseli Road, Lavington, Dagoretti North

","
1 ac
",-,-,"
1-Acre Plot For Sale in Lavington - Amboseli R...
",Simkar Group Limited,"
KSh 156,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








3

","
3BR - Luxury apartments (Ready for occupation)...
",Upper Deck Homes,"
KSh 16,500,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Nairobi, Kilimani, Dagoretti North

",-,"
2
","








3

","
Elegant 2 Bedroom Apartments for Sale in Kilima...
",Sky Limits Ventures,"
KSh 14,000,000
"
"
5 bedroom house for sale in Lavington
","

Lavington, Dagoretti North

",-,"
5
","








6

","
Spacious & Luxurious 5 bedroom townhouse
",A1 Properties Ltd,"
KSh 70,000,000
"
"
Studio apartment for sale in Kileleshwa
","

Wilma Court, Kileleshwa, Dagoretti North

","
343 ft²
","
0
","








1

","
Wilma Towers~ Elgeyo Marakwet Road, Kilimani
",Crystal Valuers LTD,"
KSh 5,800,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
2
",-,"
2, 3 & 4 Bedroom Apartments For Sale In Kileles...
",Coral Property International Ltd,"
KSh 18,100,000
"
"
0.98 ac commercial land for sale in Kilimani
","

Kilimani, Dagoretti North

",-,-,-,"
0.28 acres commercial land for sale in Kilimani...
",Pam Golding Properties,"
KSh 90,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








3

","
3 Bedroom Apartment for sale in Kileleshwa
",Azizi Realtors,"
KSh 25,000,000
"
