property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price
"
3 bedroom apartment for sale in Kileleshwa
","

laikipia road, Kileleshwa, Dagoretti North

",-,"
3
","








3

","
3 br for sale in kileleshwa near kasuku centre
",Nairobi Property,"
KSh 10,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Tabere Lane, Kileleshwa, Dagoretti North

","
126 m²
","
3
","








3

","
3 bedroom+DSQ-Alina Ridge
",Wonder Properties,"
KSh 11,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
99 m²
","
2
","








2

","
2 bedrooms apartment for sale
",Abode Realty,"
KSh 6,990,000
"
"
1 bedroom apartment for sale in Kileleshwa
","

Gatundu close, Kileleshwa, Dagoretti North

","
55 m²
","
1
","








1

","
1 bedroom apartment in Kileleshwa
",Abode Realty,"
KSh 5,500,000
"
"
450 m² land for sale in Mombasa Road
","

Konza, Mombasa Road, Mombasa Road

","
450 m²
",-,-,"
Yuconn Plains Estate– Konza (50 x 100)
",Jaybee Properties,"
KSh 680,000
"
"
450 m² land for sale in Mombasa Road
","

Konza, Mombasa Road, Mombasa Road

","
450 m²
",-,-,"
Savannah Viewpoint – Konza (50 x 100)
",Jaybee Properties,"
KSh 1,500,000
"
"
4998 ft² residential land for sale in Ruai
","

Ruiru, Kamakis, Ruai, Ruai, Kasarani

","
5000 ft²
",-,-,"
Ruiru, 50 by 100 Court 24 Plots For Sale.
",Kenya Homes,"
KSh 650,000
"
"
3200 ft² residential land for sale in Thika Road
","

Tola, Ngoigwa, Thika Road, Thika Road

","
3200 ft²
",-,-,"
Tola Ngoigwa Plots For Sale
",Kenya Homes,"
KSh 1,850,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
155 m²
","
3
","








3

","
3 BEDROOMS APARTMENT + DSQ IN KILELESHWA
",Abode Realty,"
KSh 16,000,000
"
"
Commercial property for sale in Mombasa Road
","

Mombasa Road, Mombasa Road

",-,-,-,"
Mombasa Road 10,266 sqft Go-Down for sale at 11...
",Phillavilla,"
KSh 115,000,000
"
"
450 m² land for sale in Mombasa Road
","

Konza, Mombasa Road, Mombasa Road

","
450 m²
",-,-,"
Riverside Gardens – Konza (1/8 Acre Plots)
",Jaybee Properties,"
KSh 1,500,000
"
"
Land for sale in Karen
","

Karen, Langata

",-,-,-,"
THE DEAL
",AMAYA REALTORS,"
KSh 310,000,000
"
"
3 bedroom apartment for sale in Valley Arcade
","

Valley Arcade, Dagoretti North

",-,"
3
","








2

","
3 Bedroom Apartment for sale in Valley Arcade.
",Ring Kenya Ltd,"
KSh 12,500,000
"
"
3 bedroom apartment for sale in Westlands Area
","

Westlands Area, Westlands

",-,"
3
",-,"
3bedroom apartment on sale in Westlands
",Canaan Properties,"
KSh 19,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North
 
",-,"
3
","








3

","
BRAND NEW 3 BEDROOM APARTMENT WITH DSQ.
 ",Wilnas Property Ltd,"
KSh 19,500,000
"
"
Commercial property for sale in Langata Area
","

Kitengera road, Langata Area, Langata

",-,-,-,"
Commercial property in langata for sale
",Pemukika Agency,"
KSh 35,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
",-,"
2 Bedroom Apartment For sale
",Property Boutique,"
KSh 9,000,000
"
"
10 bedroom apartment for sale in Thika Road
","

Alsops, Lucky Summer, Thika Road, Thika Road

","
450 m²
","
10
","








10
 
","
Flat for sale at Alsops
",First Villas,"
KSh 23,000,000
"
"
2 bedroom apartment for sale in Westlands Area
","

Westlands Area, Westlands

",-,"
2
",-,"
Elite Residence 2Bed
",VAAL Real Estate,"
KSh 21,200,000
"
"
Land for sale in Nairobi West
","

Nairobi West, Langata

",-,-,-,"
¼ Acre for Sale in Nairobi West
",Ring Kenya Ltd,"
KSh 100,000,000
"
"
6968 m² commercial property for sale in Lavington
","

Jacaranda Avenue, Lavington, Dagoretti North

","
6968 m²
",-,-,"
Conference Facility For Sale In Lavington
",Simkar Group Limited,"
KSh 280,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Gatundu Rd, Kileleshwa, Dagoretti North

","
95 m²
","
2
","








2

","
2 Bedroom Apartment for Sale in Kileleshwa
",Sky Limits Ventures,"
KSh 8,800,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








3

","
3 Bedroom Penthouse Apartment In Kileleshwa
",Eden Heights Realty,"
KSh 23,000,000
"
"
3 bedroom apartment for sale in Riverside
","

Riverside Drive, Riverside, Westlands

",-,"
3
","








4

","
3 Bedroom with DSQ for Sale in Riverside Nairob...
",Sky Limits Ventures,"
KSh 25,000,000
"
"
0.2146 ac land for sale in Kilimani
 ","

Jamuhuri Close, Off Ngong Road, Kilimani, Dagoretti North

",-,-,-,"
PRIME REDEVELOPMENT PLOT JAMHURI CLOSE, KILIMAN...
",HomePlus Realtors Ltd,"
KSh 75,000,000
"
"
4 bedroom apartment for sale in Lavington
","

Off Argwings Khondek, Lavington, Dagoretti North

","
245 m²
","
4
","








5

","
4 BEDROOMS ALL ENSUITE WITH DSQ FOR SALE
",Abode Realty,"
KSh 20,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








4

","
3 bedroom apartment
",GerryVille Homes,"
KSh 16,500,000
"
"
2 bedroom apartment for sale in Kasarani Area
","

Kasarani Area, Kasarani

",-,"
2
","








2

","
2 Bedroom House for Sale on Kamiti road.
",Ring Kenya Ltd,"
KSh 7,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
100 m²
","
2
","








2

","
2 Bedroom Plus Dsq For Sale In Kilimani.
",Ring Kenya Ltd,"
KSh 10,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
140 m²
","
3
","








2

","
NEW 3 BEDROOM EXECUTIVE APARTMENT FOR SALE, IN...
",Splendor Holdings,"
KSh 11,500,000
"
"
0.5 ac land for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

",-,-,-,"
0.5 acres vacant land for sale in Kiambu Road -...
",Pam Golding Properties,"
KSh 25,000,000
"
"
4039 m² commercial land for sale in Kileleshwa
","

Nyeri Road, Kileleshwa, Dagoretti North

","
4039 m²
",-,-,"
1-Acre Plot For Sale in Kileleshwa
",Simkar Group Limited,"
KSh 235,000,000
"
"
3 bedroom apartment for sale in Kilimani
","

Othaya Rd, Kilimani, Dagoretti North

",-,"
3
","








4

","
Luxurious and Spacious 3 bedroom apartment in K...
",Knitter Properties Kenya,"
KSh 19,000,000
"
"
3 bedroom apartment for sale in Hurlingham
","

Hurlingham, Dagoretti North

",-,"
3
","








3

","
Exclusive Apartments of 3 Bedroom Apartments /D...
",Wilnas Property Ltd,"
KSh 28,000,000
"
"
3 bedroom apartment for sale in Kilimani
","

Dennis Pritt, Kilimani, Dagoretti North

","
120 m²
","
3
","








2

","
Denis Gardens by Ever Forgarden Company Limited...
",Ever Forgarden Company Limited,"
KSh 10,200,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Nyeri Road, Kileleshwa, Dagoretti North

","
1451 ft²
","
2
","








2

","
The Marquis Apartments in Kileleshwa for SALE
",Hayer One Group,"
KSh 18,500,000
"
"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








3

","
Alluring & Elegant 3 Bedroom Apartments
",Olympia Gold Real Estate,"
KSh 15,300,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Nyeri road, Kileleshwa, Dagoretti North

","
2484 ft²
","
3
","








4

","
3 Bedroom - All Ensuite Apartment For sale in K...
",Hayer One Group,"
KSh 32,913,000
"
"
3 bedroom apartment for sale in Lavington
","

Hatheru Road, Telagen Gardens, Lavington, Dagoretti North

",-,"
3
",-,"
3 Bed Apartment For Sale In Lavington
",Coral Property International Ltd,"
KSh 17,500,000
"
"
0.25 ac residential land for sale in Thika Road
","

Kenyatta road- Karunguru Golf, Thika Road, Thika Road

",-,-,-,"
Catchy Vacant land for sale
",Property Point Urban Kenya,"
KSh 5,500,000
"
"
1 bedroom apartment for sale in Kileleshwa
","

kikambala, Kileleshwa, Dagoretti North

",-,"
1
","








1

","
1 & 2 bedroom Apartment for Sale in Kileleshwa
",Crystal Valuers LTD,"
KSh 9,600,000
"
"
3 bedroom apartment for sale in Kilimani
","

Kindaruma Road,, Kilimani, Dagoretti North

",-,"
3
","








3

","
3 BEDROOM APARTMENT FOR SALE IN KINDARUMA ROAD,...
",Knight Frank Kenya,"
KSh 23,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
",-,"
3- bedroom and a detached servant quarter
",Daresak Investments,"
KSh 20,000,000
"
"
2 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

","
145 m²
","
 2
","








3

","
2 BEDROOM PLUS DSQ FOR SALE IN LAVINGTON
",Nuru Breeze Homes Realty Limited,"
KSh 16,500,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
120 m²
","
2
","








2

","
KILIMANI, NEW 2 BEDROOM APARTMENT + DSQ FOR SA...
",Splendor Holdings,"
KSh 9,000,000
"
"
4 bedroom apartment for sale in Kileleshwa
","

Othaya Road, Kileleshwa, Dagoretti North

","
215 m²
","
4
","








4

","
4 Bedroom Apart For Sale in Othaya Road Kileles...
",Apogee Realty Homes,"
KSh 24,500,000
"
"
4 bedroom apartment for sale in Lavington
","

Lavington, Lavington, Dagoretti North

","
200 m²
","
4
","








5

","
4BEDROOMS,5 BATHROOMS, UNOBSTRUCTED VIEWS
",Balis Properties,"
KSh 16,000,000
"
"
4 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Kileleshwa, Dagoretti North

","
211 m²
","
4
","








5

","
4BR ALL ENSUITE PLUS DSQ
",Balis Properties,"
KSh 23,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
207 m²
","
3
","








3

","
NEW 3 BEDROOM EXECUTIVE APARTMENT FOR SALE, IN...
",Splendor Holdings,"
KSh 16,500,000
"
"
2 bedroom apartment for sale in General Mathenge
","

General Mathenge, Westlands

",-,"
2
","








2

","
2 bedroom apartment for sale in Westlands - 3KE...
",Pam Golding Properties,"
KSh 18,400,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North
 
",-,"
3
",-,"
3bdrm +sq
",REALTY BORIS,"
KSh 17,500,000
"
"
3 bedroom apartment for sale in Lavington
","

Othaya road, Lavington, Dagoretti North

","
179 m²
","
3
","








3

","
3 Bedrooms all ensuite with DSQ for Sale
",Abode Realty,"
KSh 16,500,000
"
"
3 bedroom apartment for sale in Karen
","

Karen, Langata

",-,"
3
","








4

","
Executive 3 bedrooms green heights apartments
",Joslink Property Group,"
KSh 18,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

kangundo road, Kileleshwa, Dagoretti North

",-,"
2
",-,"
2 bedroom apartment for sale in Kileleshwa
",Daresak Investments,"
KSh 11,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Othaya Road, Kileleshwa, Dagoretti North

","
135 m²
","
2
","








2

","
2 Bedroom Apartments For Sale in Kileleshwa
",Apogee Realty Homes,"
KSh 15,000,000
"
"
5 bedroom townhouse for sale in Lavington
","

Convent Drive, Lavington, Dagoretti North

",-,"
5
","








6

","
5 bedroom townhouse for sale in Lavington
",Sky Limits Ventures,"
KSh 85,000,000
"
"
3 bedroom apartment for sale in Parklands
","

Parklands, Westlands

",-,"
3
 ","








3

","
3 Bedroom Apartment for sale in parklands
",Azizi Realtors,"
KSh 23,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Gatundu Road, Kileleshwa, Dagoretti North

",-,"
2
","








2

","
2 Bedroom Apartment, Kileleshwa
",Mwalimu B & Co.,"
KSh 9,000,000
"
"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
",-,"
Breathtaking 3bd apartment for sale in the Hear...
",El Roi Properties,"
KSh 13,950,000
"
"
Studio apartment for sale in Valley Arcade
","

Valley Arcade, Valley Arcade, Dagoretti North

",-,"
0
","








1

","
Studio For Sale in Lavington, Valley Arcade
",Sky Limits Ventures,"
KSh 4,500,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
2
",-,"
2bdrm apartment on sale
",REALTY BORIS,"
KSh 9,500,000
"
"
4 bedroom apartment for sale in Riverside
","

Riverside, Westlands

","
640 m²
","
4
","








5

","
BEAUTIFUL AND EXTREMELY SPACIOUS 4 BEDROOM APAR...
",A1 Properties Ltd,"
KSh 90,000,000
"
"
2 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
2
","








2

","
Newly built 2 bedroom apartment for sale in lav...
",Wilnas Property Ltd,"
KSh 10,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








3

","
Brand new 3 bedroom apartment with Dsq
",Wilnas Property Ltd,"
KSh 23,000,000
"
"
3 bedroom apartment for sale in Loresho
","

Loresho, Westlands

","
130 m²
","
3
","








2

","
Spectacular 3 Bedroomed Master Ensuite Apartme...
",LIflac Properties,"
KSh 11,400,000
"
"
4 bedroom apartment for sale in Westlands Area
","

Raphta Road, Westlands Area, Westlands

",-,"
4
","








5

","
4 bedroom penthouse apartment for sale in Westl...
",Pam Golding Properties,"
KSh 36,000,000
"
"
4 bedroom apartment for sale in Kilimani
","

kilimani, kilimani, Kilimani, Dagoretti North

","
210 m²
","
4
","








5

","
4 BEDROOM PLUS SQ FOR SALE IN KILIMANI
",Laser Property Services Ltd,"
KSh 18,200,000
"
"
3 bedroom apartment for sale in Uthiru/Ruthimitu
","

Uthiru/Ruthimitu, Dagoretti South

",-,"
3
",-,"
Spacious 3BR Apartments with SQ For Sale - Uth...
",Pinnacle Valuers,"
KSh 9,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Othaya Rd, Kileleshwa, Dagoretti North

","
177 m²
","
3
","








4

","
Modern 3 BR + DSQ Apartment in Kileleshwa
",Prima Properties Ke,"
KSh 17,500,000
"
"
1 bedroom apartment for sale in Waiyaki Way
 ","

Waiyaki Way, Westlands

","
52 m²
","
1
","








1

","
1&2 Bedroom apartments for sale
",B. Nyariki Properties,"
KSh 3,250,000
"
"
3 bedroom apartment for sale in Runda
","

Runda, Westlands

","
95 m²
","
3
","








2

","
A Worth Investment in a Zero Commute Amenity Dr...
",El Roi Properties,"
KSh 9,600,000
"
"
5 bedroom house for sale in Riverside
","

Riverside Drive, Westlands, Nairobi, Riverside, Westlands

","
465 m²
","
5
","








6

","
5 bed Townhouse, Riverside Drive
",Fit Property,"
KSh 60,000,000
"
"
 5 bedroom townhouse for sale in Lavington
","

Lavington Nairobi, Lavington, Dagoretti North

",-,"
5
","








6

","
A 5bdrm townhouse for sale in lavington
",Spacetech Enterprises,"
KSh 80,000,000
"
"
3 bedroom apartment for sale in General Mathenge
","

General Mathenge, Westlands

",-,"
3
","








3

","
3 bedroom apartment for sale in Westlands - 3KE...
",Pam Golding Properties,"
KSh 25,400,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
130 m²
","
2
","








2

","
KILIMANI, NEW EXECUTIVE 2 BEDROOM APARTMENT +...
",Splendor Holdings,"
KSh 10,500,000
"
"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
13 m²
","
3
","








2

","
3 Bedroom Plus Dsq For Sale In Kilimani
",Ring Kenya Ltd,"
KSh 13,500,000
"
"
4 bedroom apartment for sale in Lavington
","

hatheru road, Lavington, Dagoretti North

",-,"
4
","








5

","
4 bedroom with sq all ensuite apartment for sal...
",Nairobi Property,"
KSh 22,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

101w, Kileleshwa Estate Near Kasuku Centre, Kileleshwa, Dagoretti North

","
2308 ft²
","
3
","








3

","
Immaculate and beautiful three bedroom apartmen...
",Ace Realtors Limited,"
KSh 22,500,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Kilimani, Dagoretti North

","
112 m²
","
2
","








2

","
MODERN 2BR APARTMENT
",Balis Properties,"
KSh 13,000,000
"
"
5 bedroom apartment for sale in Kileleshwa
","

Oloitoktok Road, Kileleshwa, Dagoretti North

","
320 m²
","
5
","








5

","
LUXURIUS 5 BEDROOMS ALL ENSUITE+DSQ
",Peech Limited,"
KSh 29,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Elina Residence, Mandere Road, Kileleshwa, Dagoretti North

","
2200 ft²
","
3
","








4

","
3 Bedroom Apartments & 4 Bedroom Penthouses for...
",Crystal Valuers LTD,"
KSh 22,000,000
"
"
3 bedroom apartment for sale in Kilimani
","

Yaya Center, Kilimani, Dagoretti North

",-,"
3
","








4

","
3 bedroom apartment in Kilimani near Yaya Cente...
",Knitter Properties Kenya,"
KSh 13,500,000
 "
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
143 m²
","
2
","








3

","
2 Bedroom Apartment for Sale in Kileleshwa Nair...
",Sky Limits Ventures,"
KSh 15,000,000
"
"
3 bedroom apartment for sale in Kilimani
","

Kindaruma Rd, Kilimani, Dagoretti North

","
156 m²
","
3
","








3

","
3 BR (2 en suite + SQ) Apartment (Ready for Occ...
",Prima Properties Ke,"
KSh 15,950,000
"
"
4 bedroom apartment for sale in Kilimani
","

kilimani, kilimani, Kilimani, Dagoretti North

",-,"
4
","








4

","
Brand New apt 4bd all ensuite dsq pool gym bore...
",Prudential Green Ville,"
KSh 17,000,000
"
"
Residential land for sale in Lower Kabete
","

Lower Kabete, Westlands

",-,-,-,"
SERVICED RESIDENTIAL PLOTS FOR SALE IN LOWER KA...
",-,"
KSh 3,600,000
"
"
3 bedroom apartment for sale in Parklands
","

Nairobi, Parklands, Westlands

","
3000 ft²
","
3
","








3

","
3 Bedroom All En-suite Unfurnished Apartment Fo...
",Coral Property International Ltd,"
KSh 36,000,000
"
"
5 bedroom house for sale in Karen
","

Kerarapon Rd, Karen, Langata

",-,"
5
","








6

","
5 BEDROOM ULTRAMODERN TOWNHOUSE FOR SALE IN MUH...
",Malazo Realtors,"
KSh 73,500,000
"
"
4 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
300 m²
","
4
","








4

","
Amazing And Spacious 4 Bedroom Apartments + Sq
",A1 Properties Ltd,"
KSh 28,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
2
","








2

","
2 bedroom apartment for sale in Kileleshwa
",Upper Deck Homes,"
KSh 8,500,000
"
"
1 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
1
","








1

","
1 Bedroom House for Sale In Kilimani with a Stu...
",Ring Kenya Ltd,"
KSh 7,000,000
"
"
3 bedroom apartment for sale in Pangani
","

Pangani, Ring Road, Pangani, Starehe

",-,"
3
","








3

","
Affordable Apartments 3 Bedroom Duplexes for sa...
",Regent Management Ltd,"
KSh 10,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

othaya road, Kileleshwa, Dagoretti North

",-,"
3
","








2

","
2 bedroom Plus DSQ for Sale in Kileleshwa
",Zenith Homes Management Ltd,"
KSh 13,500,000
"
"
2 bedroom apartment for sale in Dennis Pritt
","

Dennis Pritt, Dagoretti North

",-,"
2
","








2

","
Kilimani 2bedroom plus Dsq on sale off Dennis...
",Canaan Properties,"
KSh 10,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
177 m²
","
3
","








4

","
3 Bedroom All En-suite Plus DSQ For Sale in Kil...
",Nuru Breeze Homes Realty Limited,"
KSh 16,500,000
"
"
379 m² office for sale in Westlands Area
","

Westlands Area, Westlands

","
379 m²
",-,-,"
379 m2 Commercial office for-sale in Westlands...
",Pam Golding Properties,"
KSh 40,330,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
",-,"
2bdrm with quality finishing
",REALTY BORIS,"
KSh 15,500,000
"
"
4 bedroom apartment for sale in General Mathenge
","

General Mathenge, Westlands

",-,"
4
","








4

","
4 bedroom apartment for sale in Westlands - 3KE...
",Pam Golding Properties,"
KSh 58,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Gatundu Close, Kileleshwa, Dagoretti North

","
165 m²
","
3
","








3

","
ELEGANT 3 BEDROOM (ALL ENSUITE + DSQ) APARTMENT...
",Antel Ltd,"
KSh 22,000,000
"
"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

","
230 m²
","
3
","








4

","
3 Bedroom Apartment / Flat for sale in Lavingto...
 ",Kenya Classic Homes,"
KSh 21,000,000
"
