,property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price,property_price_currency,property_price_amount
740,4 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Kileleshwa, Dagoretti North",235 m²,4,5,"4BEDROOMS, 5BATHROOMS, 1DSQ & UNOBSTRUCTED VIEW...",Balis Properties,"KSh 25,000,000",KSh,25000000.0
741,4081 ft² warehouse for sale in Ruaraka,"Ruaraka, Ruaraka",4081 ft²,-,-,Commercial industrial property for sale in Ruar...,Pam Golding Properties,"KSh 24,486,000",KSh,24486000.0
742,3 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",120 m²,3,-,2 BEDROOM APARTMENT + DSQ FOR SALE (ALL ENSUI...,Splendor Holdings,"KSh 12,500,000",KSh,12500000.0
743,10684 m² land for sale in Kiambu Road,"Kiambu Road, Kiambu Road",10684 m²,-,-,Spectacular 2.64 acres land for sale in a gate...,El Roi Properties,"KSh 80,000,000",KSh,80000000.0
744,3 bedroom apartment for sale in Lavington,"Lavington, Lavington, Dagoretti North",-,3,4,3 bedroom apartment for sale,Origin Homes,"KSh 19,000,000",KSh,19000000.0
745,3 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",165 m²,3,4,Luxurious 3 bedroom with a DSQ,GerryVille Homes,"KSh 16,500,000",KSh,16500000.0
746,3 bedroom apartment for sale in Riverside,"Riverside, Westlands",-,3,4,Stunning 3 Bedroom All En-suite For Sale In Riv...,Halifax Estate Agency,"KSh 30,000,000",KSh,30000000.0
747,Land for sale in Karen,"Karen, Langata",-,-,-,LAND,AMAYA REALTORS,"KSh 35,000,000",KSh,35000000.0
748,5 bedroom townhouse for sale in Lavington,"80, Muhoya Avenue, Lavington, Dagoretti North",-,5,5,5 bedroom townhouse for sale,-,"KSh 63,000,000",KSh,63000000.0
749,4 bedroom apartment for sale in Kahawa West,"Kahawa West, Roysambu",-,4,4,Jacaranda Gardens Estate - 4 Bedroom Apartment...,-,"KSh 14,000,000",KSh,14000000.0
750,2 bedroom apartment for sale in Upper Hill,"Kiambere Road, Upper Hill, Langata",-,2,2,TWO BEDROOM UPPERHILL,-,"KSh 17,000,000",KSh,17000000.0
751,418 m² commercial property for sale in Industrial Area,"Falcon Road, off Enterprise road, Falcon road, Industrial Area, Embakasi",418 m²,-,-,"Warehouse for Sale in Industrial Area, Falcon R...",-,"KSh 25,000,000",KSh,25000000.0
752,3 bedroom apartment for sale in Ngong Road,"Ngong Road, Ngong Road",-,3,2,Vesta Garden Apartments – Ngong Road,Tysons Limited,"KSh 12,000,000",KSh,12000000.0
753,Land for sale in Kiambu Road,"TATU CITY, KIAMBU-RUIRU ROAD, Kiambu Road, Kiambu Road",-,-,-,LEGACY RIDGES,Affordable Properties Kenya,"KSh 3,500,000",KSh,3500000.0
754,5 bedroom house for sale in Karen,"Karen, Langata",-,5,5,5Bedroom classic home in Karen Windyridge,Badilisha Properties,"KSh 97,000,000",KSh,97000000.0
755,2 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",-,2,-,"2-bedroom all en-suite, Gatundu Road, Kileleshw...",Dunhill Consulting Limited,"KSh 12,500,000",KSh,12500000.0
756,2 bedroom apartment for sale in Kilimani,"Kindaruma Road, Kilimani, Dagoretti North",-,2,-,"2, 3 & 4 Bedroom Apartments (OFF PLAN) For Sal...",FAPCL Group,"KSh 13,500,000",KSh,13500000.0
757,5 bedroom townhouse for sale in Lavington,"Lavington, Dagoretti North",-,5,6,LAVINGTON 5 BEDROOM VILLAS IN A GATED ESTATE FO...,Havilaplus Estates Ltd,"KSh 51,000,000",KSh,51000000.0
758,1 bedroom apartment for sale in Kilimani,"Wood Avenue, Kilimani, Dagoretti North",65 m²,1,2,Modern One Bedroom Apartment,Leissure Homes Kenya,"KSh 5,200,000",KSh,5200000.0
759,1 ac residential land for sale in Karen,"Ngong' road, Karen, Karen, Langata",1 ac,-,-,An acre for sale in Karen.,Mencia Management Ltd.,"KSh 60,000,000",KSh,60000000.0
760,0.5 ac residential land for sale in Runda,"Runda, Westlands",-,-,-,PRIME 0.5 ACRES IN A GATED ESTATE IN RUNDA,A1 Properties Ltd,"KSh 40,000,000",KSh,40000000.0
761,3 bedroom apartment for sale in Lavington,"Off Othaya road, Lavington, Dagoretti North",120 m²,3,2,3 BEDROOM FOR SALE IN LAVINGTON,Abode Realty,"KSh 11,000,000",KSh,11000000.0
762,4 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",-,4,4,Magnificent 4 Bedroom plus Dsq Apartment,Azizi Realtors,"KSh 17,100,000",KSh,17100000.0
763,4 bedroom house for sale in Spring Valley,"Spring Valley, Westlands",-,4,5,4 bedroom For Sale in Spring Valley Estate,Cura International,"KSh 80,000,000",KSh,80000000.0
764,3 bedroom apartment for sale in Kiambu Road,"Thindigua, Kiambu Road, Kiambu Road",-,3,3,Brand New 3br Apartments In Thindigua,Jakharris Africa Ltd,"KSh 11,500,000",KSh,11500000.0
765,1 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",80 m²,1,1,NEW ONE (1) BEDROOM EXECUTIVE APARTMENT FOR S...,Splendor Holdings,"KSh 7,500,000",KSh,7500000.0
766,Land for sale in Brookside,"Brookside, Brookside, Westlands",-,-,-,1.216 Acres Commercial Plot For Sale in Brooksi...,Simkar Group Limited,"KSh 485,000,000",KSh,485000000.0
767,Furnished studio apartment for sale in Kilimani,"Kilimani, Dagoretti North",35 m²,0,1,STODIO APARTMENTS FOR SALE,Round The Clock Homes,"KSh 3,000,000",KSh,3000000.0
768,3 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",150 m²,3,2,3 BEDROOM EXECUTIVE APARTMENT FOR SALE (TWO ENS...,Splendor Holdings,"KSh 13,800,000",KSh,13800000.0
769,5 bedroom townhouse for sale in Lavington,"Kanjata Road, Lavington, Dagoretti North",-,5,-,"Lavington, Kanjata Road, New Townhouses - FOR S...",FAPCL Group,"KSh 75,000,000",KSh,75000000.0
770,3 bedroom apartment for sale in Riverside,"Riverside, Riverside, Westlands",-,3,3,"RIVERSIDE, NEW EXECUTIVE 3 BEDROOM APARTMENT +...",Splendor Holdings,"KSh 29,000,000",KSh,29000000.0
771,4 bedroom townhouse for sale in State House,"Dennis Pritt/State House Road, State House, Dagoretti North",-,4,5,TOWNHOUSE FOR SALE -STATE HOUSE ROAD/DENNIS PRI...,Regent Management Ltd,"KSh 75,000,000",KSh,75000000.0
772,2 bedroom apartment for sale in Kiambu Road,"Fourways Junction Estate, Kiambu Road, Kiambu Road",73 m²,2,2,A 2 BEDROOM APARTMENT FOR SALE IN FOURWAYS JUNC...,Royani Properties Limited,"KSh 10,500,000",KSh,10500000.0
773,2000 m² land for sale in Karen,"Karen, Langata",2000 m²,-,-,1/2 acre residential Land for sale in Makoyeti...,Crystal Valuers LTD,"KSh 28,000,000",KSh,28000000.0
774,2 bedroom apartment for sale in Kilimani,"Kilimani, Kilimani, Dagoretti North",86 m²,2,2,LOVELY 2BR APARTMENT- NEAR YAYA CENTRE,Balis Properties,"KSh 9,000,000",KSh,9000000.0
775,2 bedroom apartment for sale in Ngong Road,"Ngong Road, Ngong Road, Ngong Road",-,2,-,2 & 3 Bedroom Apartments For Sale in Ngong Road,Simkar Group Limited,"KSh 12,000,000",KSh,12000000.0
776,4 bedroom townhouse for sale in Karen,"Karen, Langata",-,4,5,4 bdrm townhouse for sale,Terebinth Real Estate,"KSh 65,000,000",KSh,65000000.0
777,4 bedroom apartment for sale in General Mathenge,"Nairobi, General Mathenge, Westlands",-,4,3,Tenanted 4 Bedroom Apartment For Sale On Genera...,Coral Property International Ltd,"KSh 29,000,000",KSh,29000000.0
778,4 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North
 ",-,4,3,"4 Bedroom Apartment For Sale
 ",Origin Homes,"KSh 17,000,000",KSh,17000000.0
779,5 bedroom townhouse for sale in Lavington,"Lavington, Dagoretti North",450 m²,5,6,"5 BEDROOM TOWNHOUSE +DSQ FOR SALE IN LAVINGTON,...",Splendor Holdings,"KSh 55,000,000",KSh,55000000.0
780,3 bedroom apartment for sale in General Mathenge,"General Mathenge Lane, General Mathenge, Westlands",-,3,2,3 bedroom apartment for sale in Westlands - 3KE...,Pam Golding Properties,"KSh 16,000,000",KSh,16000000.0
781,4 bedroom house for sale in Ridgeways,"Ridgeways, Ridgeways",-,4,5,4 Bedroom House,Henley Green Realty,"KSh 82,000,000",KSh,82000000.0
782,3 bedroom apartment for sale in Parklands,"Parklands, Westlands",-,3,-,mak,Splendour Real Estate,"KSh 16,000,000",KSh,16000000.0
783,1 ac warehouse for sale in Industrial Area,"Industrial Area, Embakasi",1 ac,-,-,Godowns for sale in Industrial area,Cura International,"KSh 150,000,000",KSh,150000000.0
784,Commercial property for sale in Mombasa Road,"Maasai Rd, Mombasa Road, Mombasa Road",-,-,-,3-Acres Commercial Property For Sale off Mombas...,Simkar Group Limited,"KSh 340,000,000",KSh,340000000.0
785,3 bedroom apartment for sale in Parklands,"Parklands, Westlands",-,3,3,Apartment for rent in sixth Parklands,Cura International,"KSh 22,500,000",KSh,22500000.0
786,4 bedroom house for sale in Westlands Area,"Grevillea, Nairobi, Westlands Area, Westlands",4000 ft²,4,3,4 Bedroom Townhouse For Sale In Grevillea,Coral Property International Ltd,"KSh 55,000,000",KSh,55000000.0
787,2 bedroom apartment for sale in Parklands,"2nd Parklands, Haveli Towers, Parklands, Westlands",-,2,-,Modern Apartments/Penthouses For Sale In Parkla...,Coral Property International Ltd,"KSh 27,200,000",KSh,27200000.0
788,3157 m² residential land for sale in Westlands Area,"Mvuli Road, Westlands Area, Westlands",3157 m²,-,-,Prime Plot In Westlands,Simkar Group Limited,"KSh 320,000,000",KSh,320000000.0
789,5 bedroom townhouse for sale in Langata Area,"Langata Area, Langata",-,5,5,ULTRA MODERN 5 BEDROOM TOWNHOUSES AT ROYAL PARK,Olympia Gold Real Estate,"KSh 29,500,000",KSh,29500000.0
790,1 bedroom apartment for sale in Parklands,"Parklands, Westlands",-,1,2,"Primo 1,2&3 Bed Apartments, Parklands",Citiscape Valuers & Estate Agents Ltd,"KSh 8,000,000",KSh,8000000.0
791,3 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",-,3,2,"LAVINGTON, NEW 3BEDROOM APARTMENT FOR SALE M...",Splendor Holdings,"KSh 14,000,000",KSh,14000000.0
792,3 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",-,3,-,"Kileleshwa, New Apartments & Penthouses – FOR S...",FAPCL Group,"KSh 22,000,000",KSh,22000000.0
793,5 bedroom townhouse for sale in Lavington,"amboseli, Gitanga Road, Lavington, Dagoretti North",5000 m²,5,5,5 bedrooms all ensuite townhouse with a spacio...,Kenya Classic Homes,"KSh 58,000,000",KSh,58000000.0
794,1 bedroom apartment for sale in Westlands Area,"The Residences, General Mathenge, Westlands Area, Westlands",-,1,"1
 ",Furnished 1 Bedroom Apartment For Sale At The R...,Coral Property International Ltd,"KSh 15,000,000",KSh,15000000.0
795,3 bedroom apartment for sale in Naivasha Road,"Four Points Apartments, Naivasha Road, Dagoretti North",112 m²,3,2,2 & 3 BEDROOM APARTMENTS ON NAIVASHA ROAD - FOU...,Crystal Valuers LTD,"KSh 8,500,000",KSh,8500000.0
796,0.62 ac land for sale in Parklands,"Forest road, Parklands, Westlands",-,-,-,0.62 acres for sale,Jusa Homes Limited,"KSh 375,000,000",KSh,375000000.0
797,2023 m² residential land for sale in Langata Area,"Langata Area, Langata",2023 m²,-,-,½ Acre land for sale on Langata Road,Ring Kenya Ltd,"KSh 90,000,000",KSh,90000000.0
798,4 bedroom house for sale in Kiambu Road,"Kiambu Road, Kiambu Road",-,4,5,FOUR-BEDROOM VILLA FOR SALE WITHIN MUSHROOM GAR...,Mahalo Properties Limited,"KSh 59,000,000",KSh,59000000.0
799,3 bedroom apartment for sale in Parklands,"Parklands, Westlands",-,3,3,3BEDROOM APARTMENT ON SALE IN PARKLANDS,Canaan Properties,"KSh 25,000,000",KSh,25000000.0
800,2024 m² residential land for sale in Runda,"Runda, Westlands",2024 m²,-,-,Pristine 0.5 Acres in Runda,GerryVille Homes,"KSh 40,000,000",KSh,40000000.0
801,3 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",-,3,4,Contemporary 3 Bedroom Apartments With DSQ for...,Realty Plus,"KSh 21,000,000",KSh,21000000.0
802,Studio apartment for sale in Westlands Area,"Westlands Area, Westlands",-,0,-,Studios in sale in Westlands,Canaan Properties,"KSh 4,000,000",KSh,4000000.0
803,1821 m² residential land for sale in North Muthaiga,"Muthaiga North, North Muthaiga, Muthaiga",1821 m²,-,-,0.45 Acres Prime Plot in A Gated Community in M...,Simkar Group Limited,"KSh 45,000,000",KSh,45000000.0
804,1 bedroom apartment for sale in Kilimani,"Dennis Pritt, Kilimani, Dagoretti North",-,1,-,Denis Gardens by Ever Forgarden Company Limited...,Ever Forgarden Company Limited,"KSh 3,600,000",KSh,3600000.0
805,3 bedroom apartment for sale in Muthaiga Area,"Muthaiga Area, Muthaiga",-,3,4,Nyali spacious 2 & 3 bedroom exquisite Apartmen...,Joslink Property Group,"KSh 13,500,000",KSh,13500000.0
806,Studio apartment for sale in Baraka/Nyayo,"Baraka/Nyayo, Embakasi",-,0,1,Studio apartment,Splendor Holdings,"KSh 3,000,000",KSh,3000000.0
807,1.36 ac land for sale in Lavington,"Off Kabarsiran Avenue, Lavington, Dagoretti North",1 ac,-,-,Vacant Prime Plot on 1.36 acres,Leissure Homes Kenya,"KSh 220,000,000",KSh,220000000.0
808,3 bedroom apartment for sale in General Mathenge,"General Mathenge, Westlands",-,3,3,Audacious Newly built 2bedroom apartment for re...,Canaan Properties,"KSh 26,000,000",KSh,26000000.0
809,3 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",-,3,3,Brand new 3 bedroom apartment withDsq,Wilnas Property Ltd,"KSh 25,000,000",KSh,25000000.0
810,3 bedroom apartment for sale in Kilimani,"Nairobi, Argwings Kodhek, Kilimani, Dagoretti North",-,3,3,2 & 3 Bedroom Apartments For Sale Off Argwings...,Coral Property International Ltd,"KSh 15,000,000",KSh,15000000.0
811,3 bedroom apartment for sale in Parklands,"Parklands, Westlands",-,3,-,3 bedroom apartment for sale in Parklands (Keny...,Pam Golding Properties,"KSh 16,000,000",KSh,16000000.0
812,1 ac land for sale in Lavington,"Amboseli Road, Lavington, Dagoretti North",1 ac,-,-,1-Acre Plot For Sale in Lavington - Amboseli R...,Simkar Group Limited,"KSh 156,000,000",KSh,156000000.0
813,3 bedroom apartment for sale in Parklands,"Nairobi, 5th parklands, Parklands, Westlands",2300 ft²,3,3,An Exquisite 3 Bedroom Apartment For Sale In Pa...,Coral Property International Ltd,"KSh 22,500,000",KSh,22500000.0
814,3 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",200 m²,3,4,Spacious 3 bedrooms all ensuite + a dsQ,Kenya Classic Homes,"KSh 15,000,000",KSh,15000000.0
815,4 bedroom house for sale in Kiambu Road,"Kiambu Road, Kiambu Road",-,4,4,4 bedroom house for sale in Kiambu Road - 3KE15...,Pam Golding Properties,"KSh 49,500,000",KSh,49500000.0
816,Land for sale in Lower Kabete,"Lower Kabete, Westlands",-,-,-,LOWER KABETE:PRIME 5 & 10ACRES FOR SALE,Jubilee Real Estate,"KSh 70,000,000",KSh,70000000.0
817,6362 ft² warehouse for sale in Ruaraka,"Off Babadogo Road - Ruaraka, Ruaraka, Ruaraka",6362 ft²,-,-,6362 ft² warehouse for sale in Ruaraka,Dunhill Consulting Limited,"KSh 35,627,200",KSh,35627200.0
818,Studio apartment for sale in Lavington,"Lavington, Dagoretti North",40 m²,0,1,Modern Studio apartment for sale in Lavington,Abode Realty,"KSh 3,900,000",KSh,3900000.0
819,3 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",-,3,3,3 bedroom apartments for sale in kileleshwa,Azizi Realtors,"KSh 22,000,000",KSh,22000000.0
820,Land for sale in Waithaka,"Muhuri Road, Waithaka, Dagoretti South",-,-,-,Prime Land for Sale in Dagoretti off Muhuri Rd,ALIX PROPERTIES LTD,"KSh 35,000,000",KSh,35000000.0
821,3 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",-,3,2,3 Bedroom Apartment for Sale in Kilimani,Ring Kenya Ltd,"KSh 10,500,000",KSh,10500000.0
822,2 bedroom apartment for sale in Riverside,"Riverside Drive, Riverside, Westlands",-,2,2,Grand residence,Real Management Services(2002) Limited,"KSh 20,000,000",KSh,20000000.0
823,Residential land for sale in Kileleshwa,"Kileleshwa, Kileleshwa, Dagoretti North",-,-,-,0.5 ACRES for Sale in Kileleshwa.,Sky Limits Ventures,"KSh 140,000,000",KSh,140000000.0
824,0.6 ac residential land for sale in Spring Valley,"Spring Valley, Westlands",-,-,-,"For sale: 1/2 acre on Spring Valley road, red s...",First Villas,"KSh 85,000,000",KSh,85000000.0
825,1 bedroom apartment for sale in Westlands Area,"Westlands Area, Westlands",-,1,-,Elite Residence 1Bed,VAAL Real Estate,"KSh 9,900,000",KSh,9900000.0
826,2 bedroom apartment for sale in Kilimani,"kindaruma road, Kilimani, Dagoretti North",90 m²,2,2,2 bedrooms from 8.5m,Round The Clock Homes,"KSh 8,500,000",KSh,8500000.0
827,2 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",110 m²,2,2,"KILIMANI, NEW 2 BEDROOM APARTMENT + DSQ FOR SA...",Splendor Holdings,"KSh 9,000,000",KSh,9000000.0
828,3 bedroom apartment for sale in Kilimani,"Kilimani, Kilimani, Dagoretti North",165 m²,3,4,3BR ALL ENSUITE PLUS DSQ,Balis Properties,"KSh 18,000,000",KSh,18000000.0
829,7.56 ac land for sale in Cbd,"Cbd, Starehe",7 ac,-,-,"7.56 ac land for sale in Cbd
 ",Dunhill Consulting Limited,"KSh 750,000,000",KSh,750000000.0
830,4 bedroom apartment for sale in Riverside,"Riverside, Westlands",-,4,4,The Masterpiece Duplex - Olympia Gold Real Esta...,Olympia Gold Real Estate,"KSh 56,000,000",KSh,56000000.0
831,0.5 ac land for sale in Kiambu Road,"Njathaini, Kiambu Road, Kiambu Road",-,-,-,"0.5 Ac land for sale off Kiambu Road, Njathaini...",-,"KSh 20,000,000",KSh,20000000.0
832,3 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",180 m²,3,3,NEW 3 & 4 BEDROOM EXECUTIVE APARTMENT FOR SALE...,Splendor Holdings,"KSh 15,000,000",KSh,15000000.0
833,3 bedroom apartment for sale in Clay City,"Claycity, Clay City, Kasarani",-,3,2,3 bedroom Apartment For Sale In Claycity Kasara...,Jayhenrys Holdings Limited,"KSh 7,650,000",KSh,7650000.0
834,3 bedroom apartment for sale in Riverside,"Riverside, Westlands",-,3,4,Riverside:3 bedroom deluxe apartment for sale,Royal Properties Market Limited,"KSh 40,000,000",KSh,40000000.0
835,2 bedroom apartment for sale in Pangani,"Pangani, Starehe",64 m²,2,2,Oasis Apartments by Pramukh Developers Limited,Pramukh Developers Limited,"KSh 7,200,000",KSh,7200000.0
836,7689 m² commercial land for sale in Garden Estate,"Near Willmary Estate, Garden Estate, Roysambu",7689 m²,-,-,PRIME LAND FOR SALE ALONG THIKA ROAD,Apogee Realty Homes,"KSh 350,000,000",KSh,350000000.0
837,500 m² residential land for sale in Kiambu Road,"kiambu road, riabai, Kiambu Road, Kiambu Road",500 m²,-,-,1/8 Acre plot @kes 4M cash,Nairobi Property,"KSh 4,000,000",KSh,4000000.0
838,3 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",-,3,4,A Beautiful 3 Bedroom All En-suite For Sale In...,Halifax Estate Agency,"KSh 24,000,000",KSh,24000000.0
839,2 bedroom apartment for sale in Parklands,"1St Parklands, Parklands, Westlands",-,2,-,2 bedroom apartment for sale in Parklands,Dunhill Consulting Limited,"KSh 18,000,000",KSh,18000000.0
840,Land for sale in Runda,"Pan African Insurance Avenue, Runda, Westlands",-,-,-,Prime 0.5 Acres Flat Land For Sale In Runda,Coral Property International Ltd,"KSh 55,000,000",KSh,55000000.0
841,4 bedroom house for sale in Westlands Area,"Westlands Area, Westlands",-,4,3,4 Bedroom Home off Lantana Road - For Sale,FAPCL Group,"KSh 38,000,000",KSh,38000000.0
842,Land for sale in Karen,"Rhino Park, Karen, Langata",-,-,-,5 Acre Land For Sale In Karen,Royani Properties Limited,"KSh 60,000,000",KSh,60000000.0
843,5 bedroom house for sale in Kiambu Road,"Kiambu Road, Kiambu Road",600 m²,5,5,Breath taking 4br + dsq Mainsionette,El Roi Properties,"KSh 28,000,000",KSh,28000000.0
844,6 bedroom townhouse for sale in Lavington,"Lavington, Dagoretti North",700 m²,6,6,5 BEDROOM TOWNHOUSE + 2 DSQ FOR SALE IN LAVINGT...,Splendor Holdings,"KSh 80,000,000",KSh,80000000.0
845,3 bedroom apartment for sale in Kiambu Road,"Kiambu Road, Kiambu Road",1500 ft²,3,2,3 Bedroom Apartment with Dsq For Sale Along Kia...,Jayhenrys Holdings Limited,"KSh 10,500,000",KSh,10500000.0
846,4 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",260 m²,4,4,4 BEDROOM APARTMENT + DSQ FOR SALE (ALL ENSUI...,Splendor Holdings,"KSh 23,000,000",KSh,23000000.0
847,1 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",35 m²,1,1,Masterfully designed 1 bedroom apartments,A1 Properties Ltd,"KSh 8,000,000",KSh,8000000.0
848,3 bedroom apartment for sale in Ngong Road,"Ngong rd, Ngong Road, Ngong Road",120 m²,3,2,3 Bedroom apartment for sale in Ngong road,Abode Realty,"KSh 9,800,000",KSh,9800000.0
849,8 bedroom apartment for sale in Lavington,"456, Lavington, Dagoretti North",300 m²,8,9,6 bedrooms penthouse + 2 dsQ In Lavington,Kenya Classic Homes,"KSh 30,000,000",KSh,30000000.0
850,8.2 ac land for sale in Karen,"Kerarapon Road Mwitu Drive, Mwitu, Karen, Langata",8 ac,-,-,8.2 Acres in Kerarapon road mwitu Estates,Second Exodus Realtors,"KSh 480,000,000",KSh,480000000.0
851,2 bedroom apartment for sale in Lavington,"mbaazi avenue, Lavington, Dagoretti North",-,2,2,2 Bedroom Apartment for Sale in Lavington Area,Crystal Valuers LTD,"KSh 16,500,000",KSh,16500000.0
852,6 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",300 m²,6,6,Luxurious 6 Bedroomed All Ensuite Pent House Fo...,LIflac Properties,"KSh 31,000,000",KSh,31000000.0
853,3 bedroom apartment for sale in Thika Road,"Morningside Green Apartments, Thika Road, Thika Road",135 m²,3,2,3 BEDROOM APARTMENTS -THIKA ROAD,Crystal Valuers LTD,"KSh 12,450,000",KSh,12450000.0
854,Land for sale in Lavington,"Muthangari Road, Lavington, Dagoretti North",-,-,-,0.781 Acre Plot For Sale in Lavington - Muthang...,Simkar Group Limited,"KSh 180,000,000",KSh,180000000.0
855,5 bedroom house for sale in Lavington,"Amboseli Road, Lavington, Dagoretti North",-,5,6,5 Bedroom Townhouse For Sale In Lavington,Coral Property International Ltd,"KSh 60,000,000",KSh,60000000.0
856,1 bedroom apartment for sale in Runda,"924M, Two Rivers, Limuru Road, Runda, Runda, Westlands",615 ft²,1,2,(UNDER CONSTRUCTION) Extraordinary one-bedroom...,Ace Realtors Limited,"KSh 8,500,000",KSh,8500000.0
857,3 bedroom apartment for sale in Loresho,"Loresho, Westlands",-,3,3,Loresho springs 3 bedroom apartment for sale,Royal Properties Market Limited,"KSh 18,000,000",KSh,18000000.0
858,5 bedroom house for sale in Kyuna,"Nairobi, Kyuna, Westlands",6000 ft²,5,5,"5 Bedroom Villa For Sale In Kibagare Valley, Ky...",Coral Property International Ltd,"KSh 120,000,000",KSh,120000000.0
859,2 bedroom apartment for sale in General Mathenge,"General Mathenge, Westlands",-,2,3,New 2 Bedroom Apartment For Sale,Origin Homes,"KSh 23,000,000",KSh,23000000.0
860,3 bedroom apartment for sale in Kileleshwa,"Laikipia Road, Kileleshwa, Dagoretti North",-,3,3,AVIC PARK,Avic Park,"KSh 36,000,000",KSh,36000000.0
861,Land for sale in Kiambu Road,"Kiambu Road, Kiambu Road",-,-,-,VACANT LAND FOR SALE IN KIAMBU ROAD,Royani Properties Limited,"KSh 50,000,000",KSh,50000000.0
862,3 bedroom apartment for sale in Mombasa Road,"Mombasa Road, Mombasa Road",-,3,4,3 Bedroom Apartments For Sale along Mombasa Ro...,THE GRAND RAVIX LIMITED,"KSh 16,300,000",KSh,16300000.0
863,Studio apartment for sale in Kilimani,"21 10008, Kilimani Estate, Kilimani, Dagoretti North",390 ft²,0,1,Under construction: Prestigious self-contained...,Ace Realtors Limited,"KSh 3,800,000",KSh,3800000.0
864,1 bedroom apartment for sale in Waiyaki Way,"Waiyaki Way, Westlands",-,1,2,"LUXURIOUS ALL-ENSUITE 1, 2 & 3 BEDROOM APARTMEN...",Citiscape Valuers & Estate Agents Ltd,"KSh 6,950,000",KSh,6950000.0
865,1 bedroom apartment for sale in Hill View,"Elite Residence ~Westlands Road,, Hill View, Westlands",592 ft²,1,1,Elite Residence ~ The Ultimate Urban Addres,Crystal Valuers LTD,"KSh 10,900,000",KSh,10900000.0
866,3 bedroom apartment for sale in Ngong Road,"Off Kaburu road, Ngong Road, Ngong Road",140 m²,3,3,MODERN 3 BEDROOMS APARTMENT FOR SALE ON NGONG R...,Abode Realty,"KSh 13,500,000",KSh,13500000.0
867,2 bedroom apartment for sale in Upper Hill,"Upper Hill, Langata",-,2,-,2 Bedroom For Sale,Property Boutique,"KSh 17,000,000",KSh,17000000.0
868,2 bedroom apartment for sale in Ngong Road,"Ngong Road, Ngong Road",90 m²,2,2,2 Bedrooms apartment on Ngong rd,Abode Realty,"KSh 7,800,000",KSh,7800000.0
869,4 bedroom house for sale in North Muthaiga,"45, Muthaiga north, North Muthaiga, Muthaiga",-,4,5,Muthaiga north,-,"KSh 40,000,000",KSh,40000000.0
870,4 bedroom apartment for sale in General Mathenge,"General mathenge, General Mathenge, Westlands",-,4,5,Modern 4 bedroom apartment for sale,Origin Homes,"KSh 50,000,000",KSh,50000000.0
871,1 bedroom apartment for sale in Riverside,"Riverside, Westlands",-,1,1,New 1 & 2 Bedroom Condo&#39;s For Sale,Origin Homes,"KSh 12,000,000",KSh,12000000.0
872,3 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",-,3,4,Kilimani:3 bedroom apartment for sale/rent,Royal Properties Market Limited,"KSh 27,000,000",KSh,27000000.0
873,1 bedroom apartment for sale in Ngong Road,"Ngong Road, Ngong Road",55 m²,1,2,Egoli premiere executive 1 bedroom apartments f...,B. Nyariki Properties,"KSh 6,000,000",KSh,6000000.0
874,3 bedroom apartment for sale in Kilimani,"Kilimani, Kilimani, Dagoretti North",133 m²,3,3,"LIMITED OFFER - 3BEDROOMS, 3BATHROOMS & A HOME...",Balis Properties,"KSh 11,500,000",KSh,11500000.0
875,7285 m² land for sale in Rhapta Road,"Rhapta Road, Rhapta Road, Westlands",7285 m²,-,-,1.8 acres vacant land for sale in Rhapta Road (...,Pam Golding Properties,"KSh 450,000,000",KSh,450000000.0
876,Studio apartment for sale in Kilimani,"Kilimani, Dagoretti North",35 m²,0,-,STUDIO APARTMENT FOR SALE IN KILIMANI,Prelax Properties,"KSh 3,800,000",KSh,3800000.0
877,3 bedroom apartment for sale in Kilimani,"KILIMANI, KILIMANI, Kilimani, Dagoretti North",140 m²,3,2,3 BEDROOM APARTMENT FOR SALE IN KILIMANI,Laser Property Services Ltd,"KSh 15,000,000",KSh,15000000.0
