,property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price
14,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
114 m²
","
3
","








2

","
BEAUTIFUL 3BEDROOM APARTMENT FOR SALE IN KILELE...
",Prelax Properties,"
KSh 9,250,000
"
15,"
3 bedroom apartment for sale in Kileleshwa
","

Othaya road, Kileleshwa, Dagoretti North

","
179 m²
","
3
","








4

","
SPECIAL OFFER ,PRICE DROP ON THIS 3BEDROOM WITH...
",Prelax Properties,"
KSh 15,500,000
"
16,"
5 bedroom apartment for sale in Lavington
","

ole odume, Lavington, Dagoretti North

","
310 m²
","
5
","








6

","
EXQUISITE AND LOVELY DONE 5BEDROOM WITH SQ APAR...
",Prelax Properties,"
KSh 26,000,000
"
17,"
Residential land for sale in Lower Kabete
","

Lower Kabete, Westlands

",-,-,-,"
SERVICED RESIDENTIAL PLOTS FOR SALE IN LOWER KA...
",-,"
KSh 3,600,000
"
18,"
2 bedroom apartment for sale in Lavington
","

Hatheru Road, Lavington, Dagoretti North

","
140 m²
","
2
","








2

","
TWO BEDROOMS FOR SALE IN HATHERU
",Calmillers Holding Ltd,"
KSh 12,500,000
"
19,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
207 m²
","
3
","








3

","
EXECUTIVE 3BEDROOM WITH SQ APARTMENT FOR SALE I...
",Prelax Properties,"
KSh 19,000,000
"
20,"
3 bedroom apartment for sale in Kileleshwa
","

45, Othaya Road, Kileleshwa, Dagoretti North

","
120 m²
","
3
","








3

","
Diamond Homes - 3 bedroom Apartment
",Detiland Company Limited,"
KSh 11,500,000
"
21,"
5 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
5
","








6

","
Italian Style Villa, Lavington for Sale
",HAMMOCK & PALMS AFRICA,"
KSh 100,000,000
"
22,"
5 bedroom house for sale in Langata Area
","

Langata Area, Langata

",-,"
5
","








5

","
5 bedroom house for sale
",Fitsher Homes Ltd,"
KSh 28,000,000
"
23,"
4 bedroom townhouse for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

",-,"
4
","








4

","
Homely 4 bedroom townhouse for sale in Kiambu R...
",Ge-Mac Property Solutions,"
KSh 38,000,000
"
24,"
4 bedroom house for sale in Gigiri
","

Gigiri, Westlands

",-,"
4
","








4

","
4 BEDROOM HOUSE FOR SALE IN GIGIRI ALONG GARDEN...
",-,"
KSh 75,000,000
"
25,"
5 bedroom house for sale in Old Muthaiga
","

Old Muthaiga, Muthaiga

",-,"
5
","








4

","
Old Muthaiga House for Sale
",HAMMOCK & PALMS AFRICA,"
KSh 550,000,000
"
26,"
4 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
4
","








4

","
4 Bedrooom House for sale
",Royani Properties Limited,"
KSh 50,000,000
"
27,"
5 bedroom house for sale in Old Muthaiga
","

Old Muthaiga, Muthaiga

",-,"
5
","








5

","
Charming 5bedroom Own Compound Home in Muthaiga
",HAMMOCK & PALMS AFRICA,"
KSh 270,000,000
"
28,"
4 bedroom townhouse for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

",-,"
4
","








5

","
Beautiful 4 bedroom townhouse for sale in Kiamb...
",Ge-Mac Property Solutions,"
KSh 37,000,000
"
29,"
Furnished 2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
100 m²
","
2
","








2

","
affordable 2 bedroom for sale
",Round The Clock Homes,"
KSh 6,990,000
"
30,"
4 bedroom townhouse for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

",-,"
4
","








5

","
Beautiful 4 bedroom townhouse for sale in Kiamb...
",Ge-Mac Property Solutions,"
KSh 35,000,000
"
31,"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
","








4

","
3 bedroom apartment for sale in lavington
",Sarabi Realty Group,"
KSh 12,000,000
"
32,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








4

","
3 bedroom apartment for sale in kilimani
",Sarabi Realty Group,"
KSh 9,500,000
"
33,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








4

","
3 bedroom apartment for sale in kilimani
",Sarabi Realty Group,"
KSh 9,500,000
"
34,"
Furnished 3 bedroom apartment for sale in Spring Valley
","

Brookside Drive, Spring Valley, Westlands

","
2000 ft²
","
3
","








4

","
By owner, Furnished 3 bedroom apartment for sal...
",-,"
KSh 25,000,000
"
35,"
2 bedroom apartment for sale in Kilimani
","

Kindaruma Road, Kilimani, Dagoretti North

",-,"
2
","








2

","
HEARTLAND GARDEN
",Heartland Homes Nairobi Co. Limited,"
KSh 9,500,000
"
36,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
","








3

","
2 bedroom apartment for sale in kilimani
",Sarabi Realty Group,"
KSh 7,000,000
"
37,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
","








3

","
2 bedroom apartment for sale in kilimani
",Sarabi Realty Group,"
KSh 7,000,000
"
38,"
1 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
1
","








1

","
1 bedroom apartment for sale in kilimani
",Sarabi Realty Group,"
KSh 4,000,000
"
39,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








4

","
3 bedroom apartment for sale in kileleshwa
",Sarabi Realty Group,"
KSh 9,500,000
"
40,"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
2
","








3

","
2 bedroom apartment for sale in kileleshwa
",Sarabi Realty Group,"
KSh 8,000,000
"
41,"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
","








4

","
3 bedroom apartment for sale in lavington
",Sarabi Realty Group,"
KSh 10,000,000
"
42,"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
","








4

","
3 bedroom apartment for sale in lavington
",Sarabi Realty Group,"
KSh 9,500,000
"
43,"
2 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
2
","








3

","
2 bedroom apartment for sale in lavington
",Sarabi Realty Group,"
KSh 8,000,000
"
44,"
1 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
1
","








1

","
1 bedroom apartment for sale in lavington
",Sarabi Realty Group,"
KSh 4,200,000
"
45,"
7 bedroom house for sale in Old Muthaiga
","

Old Muthaiga, Muthaiga

",-,"
7
","








7

","
Majestic 7 Bedroom House On 0.6 Acres For Sale...
",Riverdale Properties,"
KSh 230,000,000
"
46,"
2 bedroom apartment for sale in Imara Daima
","

Imara Daima, Embakasi

",-,"
2
","








2

","
2 Bedroom Apartment For Sale in Imara Daima
",Crystal Valuers LTD,"
KSh 7,500,000
"
47,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








4

","
3 bedroom plus sq to let in kilimani
",Best of Homes,"
KSh 80,000
"
48,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
180 m²
","
3
","








5

","
3 Bedroom Apartments for sale in Kilimani
",THE GRAND RAVIX LIMITED,"
KSh 18,000,000
"
49,"
4 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
280 m²
","
4
","








2

","
Exquisite 3 and 4 Bedroom Apartments and Duplex...
",THE GRAND RAVIX LIMITED,"
KSh 30,000,000
"
50,"
2 bedroom apartment for sale in Upper Hill
","

 Upper Hill, Langata

","
102 m²
","
2
","








2

","
1 and 2 Bedroom Apartments for sale in Upperhil...
",THE GRAND RAVIX LIMITED,"
KSh 13,600,000
"
51,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
","








2

","
KILIMANI, NEW EXECUTIVE 2 BEDROOM APARTMENT FO...
",Splendor Holdings,"
KSh 10,000,000
"
52,"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Nyeri Road, Kileleshwa, Dagoretti North

","
1451 ft²
","
2
","








2

","
The Marquis Apartments in Kileleshwa for SALE
",Hayer One Group,"
KSh 18,500,000
"
53,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
100 m²
","
2
","








2

","
Studio, 1 and 2 Bedroom Apartments for sale in...
",THE GRAND RAVIX LIMITED,"
KSh 9,600,000
"
54,"
4 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
2271 ft²
","
4
","








3

","
3 and 4 Bedroom Apartments for sale in Kilelesh...
",THE GRAND RAVIX LIMITED,"
KSh 20,000,000
"
55,"
4 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
4
","








3

","
EXQUISITE 3 AND 4 BEDROOM APARTMENTS FOR SALE I...
",THE GRAND RAVIX LIMITED,"
KSh 17,500,000
"
56,"
4 bedroom apartment for sale in Kilimani
","

Kilimani, Kilimani, Dagoretti North

","
222 m²
","
4
","








3

","
Exquisite Apartments for sale in Kilimani
",THE GRAND RAVIX LIMITED,"
KSh 23,000,000
"
57,"
5 bedroom house for sale in Karen
","

Karen, Langata

",-,"
5
",-,"
Executive 5 Bedroom All-Ensuite House for sale...
",-,"
KSh 75,000,000
"
58,"
4 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
265 m²
","
4
","








 4

","
BEAUTIFUL 4BEDROOM WITH SQ APARTMENT FOR SALE I...
",Prelax Properties,"
KSh 24,000,000
"
59,"
5 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
320 m²
","
5
","








 5

","
EXQUISITE 5BEDROOM APARTMENT FOR SALE IN KILELE...
",Prelax Properties,"
KSh 29,500,000
"
60,"
1 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
60 m²
","
1
","








1

","
NICELY DONE 1BEDROOM APARTMENT FOR SALE IN KILI...
",Prelax Properties,"
KSh 5,500,000
"
61,"
Residential land for sale in Lavington
","

Kingara road, Kingara road, Lavington, Dagoretti North

",-,-,-,"
3 bedroom apartment for sale in LAVINGTON 12.5m
",Aqua Property Solutions,"
KSh 12,500,000
"
62,"
6 bedroom apartment for sale in Riverside
","

Riverside, Westlands

",-,"
6
","








6

","
For Sale Cozy Modern 6 Bedroooms With DSQ Garde...
",Jabemu Property Development,"
KSh 70,000,000
"
63,"
2 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
2
","








3

","
2 bedroom apartment for sale in lavington
",Sarabi Realty Group,"
KSh 6,500,000
"
64,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








3

","
3 Bedroom Apartments for sale in Kilimani
",THE GRAND RAVIX LIMITED,"
P.O.A
"
65,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
130 m²
","
2
","








2

","
2 and 3 Bedroom Apartments for sale in Kilimani
",THE GRAND RAVIX LIMITED,"
KSh 13,500,000
"
66,"
Studio apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
35 m²
","
0
",-,"
STUDIO APARTMENT FOR SALE IN KILIMANI
",Prelax Properties,"
KSh 3,800,000
"
67,"
5 bedroom house for sale in Karen
","

Karen, Langata

",-,"
5
",-,"
Modern 5 Bedroom Brand New Bungalow for sale in...
",-,"
KSh 120,000,000
"
68,"
2 bedroom apartment for sale in Kilimani
","

Kirichwa Road, Kilimani, Dagoretti North

","
109 m²
","
2
","








3

","
Kirichwa Place
",Sakile Properties,"
KSh 11,000,000
"
69,"
3 bedroom apartment for sale in Karen
","

Karen, Langata

",-,"
3
","








4

","
Executive 3 bedrooms green heights apartments
",Joslink Property Group,"
KSh 18,000,000
"
70,"
Studio apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
40 m²
","
0
",-,"
STUDIO APARTMENTS FOR SALE IN KILIMANI AREA
 ",Prelax Properties,"
KSh 4,000,000
"
71,"
4 bedroom apartment for sale in Kileleshwa
","

Laikipia rd, Kileleshwa, Dagoretti North

","
140 m²
","
4
","








3

","
4 BEDROOMS FOR SALE IN KILELESHWA
",Abode Realty,"
KSh 12,500,000
"
72,"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
99 m²
","
2
","








2

","
2 bedrooms apartment for sale
",Abode Realty,"
KSh 6,990,000
"
73,"
3 bedroom apartment for sale in Kileleshwa
","

Laikipia rd, Kileleshwa, Dagoretti North

","
120 m²
","
3
","








3

","
MODERM READY FOR OCCUPATION 3 BEDROOM APARTMENT...
",Abode Realty,"
KSh 10,500,000
"
74,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
155 m²
","
3
","








3

","
3 BEDROOMS APARTMENT + DSQ IN KILELESHWA
",Abode Realty,"
KSh 16,000,000
"
75,"
3 bedroom apartment for sale in Hurlingham
","

Hurlingham, Dagoretti North

",-,"
3
",-,"
3 Bedroom All Ensuite Spacious Apartment For Sa...
",CFS Homes,"
KSh 28,000,000
"
76,"
1 ac land for sale in Karen
","

Karen, Langata

","
1 ac
",-,-,"
One acre red soil plot of land for sale in Kare...
",-,"
KSh 60,000,000
"
77,"
Furnished office for sale in Riverside
","

Riverside, Westlands

",-,-,-,"
Furnished Executive Office Block For Sale In Ri...
",Riverdale Properties,"
KSh 65,000,000
"
78,"
1 bedroom apartment for sale in Kileleshwa
","

Gatundu close, Kileleshwa, Dagoretti North

","
55 m²
","
1
","








1

","
1 bedroom apartment in Kileleshwa
",Abode Realty,"
KSh 5,500,000
"
79,"
Studio apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
40 m²
","
0
","








1

","
Fully Loaded Studio for sale in Kileleshwa
",Abode Realty,"
KSh 4,300,000
"
80,"
Studio apartment for sale in Kileleshwa
","

Othaya road, Kileleshwa, Dagoretti North

","
45 m²
","
0
","








1

","
SPACIOUS STUDIO APARTMENT FOR SALE IN KILELESHW...
",Abode Realty,"
KSh 4,200,000
"
81,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
",-,"
3 Bedroom Apartment for sale in kilimani
",CFS Homes,"
KSh 25,000,000
"
82,"
3 bedroom apartment for sale in Kileleshwa
","

Othaya road, Kileleshwa, Dagoretti North

","
195 m²
","
3
","








4

","
Modern 3 bedrooms all ensuite for sale in kilel...
",Abode Realty,"
KSh 17,500,000
"
83,"
 Residential land for sale in Runda
","

Roselyn riviera, Runda, Westlands

",-,-,-,"
Prime half acre land in runda
",Villawatch Limited,"
KSh 33,000,000
"
84,"
0.5 ac land for sale in Parklands
","

Parklands, Westlands

",-,-,-,"
Prime 0.5 acre Plot in Parklands
",Dayfield Agencies,"
KSh 220,000,000
"
85,"
3 bedroom apartment for sale in Lavington
","

Othaya road, Lavington, Dagoretti North

","
179 m²
","
3
","








3

","
3 Bedrooms all ensuite with DSQ for Sale
",Abode Realty,"
KSh 16,500,000
"
86,"
3 bedroom apartment for sale in Kileleshwa
","

Othaya Rd, Kileleshwa, Dagoretti North

","
177 m²
","
3
","








4

","
Modern 3 BR + DSQ Apartment in Kileleshwa
",Prima Properties Ke,"
KSh 17,500,000
"
87,"
 3 bedroom apartment for sale in Brookside
","

Brookside Pearl, Brookside, Westlands

",-,"
3
","








3

","
Apartments For Sale & To Let On Brookside Drive...
",Coral Property International Ltd,"
KSh 22,500,000
"
88,"
4 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
2700 ft²
","
4
","








6

","
NEW 4 BEDROOM EXECUTIVE APARTMENT FOR SALE, IN...
",Splendor Holdings,"
KSh 23,000,000
"
89,"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
","








3

","
3 bedroom apartment for sale in Lavington
",Dunhill Consulting Limited,"
KSh 25,000,000
"
90,"
1 ac residential land for sale in Nairobi Hardy
","

Kikenni, Mukoma, Nairobi Hardy, Langata

","
1 ac
","
5
","








6

","
ACRE PLOT ON MUKOMA ESTATE - KAREN HARDY
",Second Exodus Realtors,"
KSh 50,000,000
"
91,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
180 m²
","
3
","








4

","
3 BEDROOM EXECUTIVE APARTMENT + DSQ FOR SALE...
",Splendor Holdings,"
KSh 15,000,000
"
92,"
0.9 ac land for sale in Lavington
","

Amboseli Road, Lavington, Dagoretti North

",-,-,-,"
Approximately 0.903 acres for sale off Amboseli...
",Knight Frank Kenya,"
KSh 110,000,000
"
93,"
2 bedroom apartment for sale in Parklands
","

Off Batu Batu Road, Parklands, Westlands

","
167 m²
","
2
","








3

","
Amaresa Azure
",Eastwood Consulting Ltd,"
KSh 18,000,000
"
94,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
10 m²
","
2
",-,"
For sale 2 bedroom apartment in Kilimani
",Kenya Classic Homes,"
KSh 12,500,000
"
95,"
0.6 ac commercial land for sale in Riverside
","

Riverside, Westlands

",-,-,-,"
0.6 acres commercial vacant land for sale in Ri...
",Pam Golding Properties,"
KSh 138,000,000
"
96,"
1 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Kileleshwa, Dagoretti North

","
40 m²
","
1
","








1

","
LIMITED OFFER - STUDIO APARTMENT
",Balis Properties,"
KSh 4,000,000
"
97,"
0.1332 ac land for sale in South B
","

Joe kadenge road, South B, Langata

",-,-,-,"
South B Plot for sale along Kapiti road
",Crystal Valuers LTD,"
KSh 85,000,000
"
98,"
2 bedroom apartment for sale in Kileleshwa
","

Suguta Road, Kileleshwa, Dagoretti North

","
150 m²
","
2
",-,"
2 bedroom apartment for sale in Kileleshwa (Ken...
",Pam Golding Properties,"
KSh 15,000,000
"
99,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
","








3

","
2 Bed plus SQ (master en-suite, 129 Sq.m)
",Azizi Realtors,"
KSh 12,500,000
"
100,"
Furnished 2 bedroom apartment for sale in Upper Hill
","

Upperhill, Upper Hill, Langata

","
95 m²
","
2
","








2

","
2 Bedroom Furnished Apartment for Sale in Upper...
",Sky Limits Ventures,"
KSh 12,900,000
"
101,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
154 m²
","
3
","








3

","
AMAZING DEAL FOR APARTMENTS ON RIVERSIDE DRIVE
",Olympia Gold Real Estate,"
KSh 18,500,000
"
102,"
3 bedroom apartment for sale in Thika Road
","

USIU /Safaripark, Off Mirema Road., Thika Road, Thika Road

","
165 m²
","
3
","








4

","
The Northgate Apartment Homes
",The Urban Queen Enterprises Ltd,"
KSh 14,950,000
"
103,"
3 bedroom apartment for sale in Kilimani
","

Dennis Pritt, Kilimani, Dagoretti North

","
120 m²
","
3
","








2

","
Denis Gardens by Ever Forgarden Company Limited...
",Ever Forgarden Company Limited,"
KSh 10,200,000
"
104,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








3

","
3 bedroom apartment
",Lighthouse Homes Limited,"
KSh 9,000,000
"
105,"
3 bedroom apartment for sale in Clay City
","

Clay City, Kasarani

","
110 m²
","
3
","








2

","
Clay City Estate
",HF Group PLC,"
KSh 7,650,000
"
106,"
3 bedroom apartment for sale in Parklands
","

Parklands, Westlands

",-,"
3
","








2

","
Stunning views on gorgeous 3 bed apartment in P...
",Pam Golding Properties,"
KSh 25,900,000
"
107,"
2 bedroom apartment for sale in Kileleshwa
","

Denis Pritt, Kileleshwa, Dagoretti North
 
","
100 m²
","
2
","








2

","
2 bedroom apartment along Denis Pritt Road
",First Villas,"
KSh 12,000,000
"
108,"
1 bedroom apartment for sale in Kilimani
","

Kindaruma Rd, Kilimani, Dagoretti North

","
40 m²
","
1
","








1

","
1 BR Apartment along Kindaruma Rd from 5 M
",Prima Properties Ke,"
KSh 5,000,000
"
109,"
0.5 ac land for sale in Garden Estate
","

Garden Estate, Roysambu

",-,-,-,"
0.5 acres residential vacant land for sale in G...
",Pam Golding Properties,"
KSh 29,000,000
"
110,"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
",-,"
3 Bedroom Master En-suite Apartments For Sale -...
",PMC Estates Limited,"
KSh 12,500,000
"
111,"
3 bedroom apartment for sale in Waiyaki Way
","

Mvuli Road, Waiyaki Way, Westlands

","
204 m²
","
3
","








3

","
Maple & Garnet Apartments
",Eastwood Consulting Ltd,"
KSh 26,000,000
"
112,"
2 bedroom apartment for sale in Lavington
","

Nairobi, Hatheru Road, Lavington, Dagoretti North

",-,"
2
","








2

","
Modern 2 Bedroom All En-suite Apartment For Sal...
",Coral Property International Ltd,"
KSh 12,500,000
"
113,"
3 bedroom apartment for sale in Kilimani
","

Off Ngong Road, Kilimani, Dagoretti North

","
140 m²
","
3
","








2

","
Stylish 3 Bedroom Apartment Master Ensuite
",Peech Limited,"
KSh 13,700,000
"
114,"
5 bedroom house for sale in Kyuna
","

Grevillea GROVE, Kyuna, Westlands

","
420 m²
","
5
","








5

","
Magnificent 5 Bedrooms Town house All Ensuite+D...
",Peech Limited,"
KSh 54,000,000
"
115,"
2 bedroom apartment for sale in Brookside
","

Spoonbill Nest, Brookside, Westlands

",-,"
2
",-,"
 2 Bedroom Apartment For Sale In Brookside – Spo...
",Coral Property International Ltd,"
KSh 16,500,000
"
116,"
1 bedroom apartment for sale in Riverside
","

Riverside, Westlands

","
678 ft²
","
1
","








1

","
Plush 1 bedroom mixed use development
",A1 Properties Ltd,"
KSh 11,200,000
"
117,"
3 bedroom apartment for sale in Kilimani
","

Elgeyo Marakwet Road, Kilimani, Dagoretti North

",-,"
3
",-,"
Wilma Towers-Manhattan Style 3Bed
",VAAL Real Estate,"
KSh 13,600,000
"
118,"
Residential land for sale in Karen
","

Karen, Langata

",-,-,-,"
Karen Prime Residential Plots
",Afrique Properties Limited,"
KSh 27,000,000
"
119,"
4 bedroom apartment for sale in Nyari
","

Enaki Town, Nyari, Westlands

",-,"
4
","








5

","
4 bedroom Apartments
",HassConsult,"
KSh 54,400,000
"
120,"
1 bedroom apartment for sale in Kilimani
","

Kilimani, Kilimani, Dagoretti North

","
730 ft²
","
1
","








1

","
1BR APARTMENT FOR SALE, KILIMANI.
",Property City,"
KSh 6,400,000
"
121,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








3

","
Stylish 3 bedroom apartments for sale in kilele...
",Wilnas Property Ltd,"
KSh 10,000,000
"
122,"
3 bedroom apartment for sale in Rhapta Road
","

Rhapta Road, Westlands

",-,"
3
","








3

","
3 Bedroom Apartment For Sale - Rhapta Road, Wes...
",Coral Property International Ltd,"
KSh 22,000,000
"
123,"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
143 m²
","
2
","








3

","
2 Bedroom Apartment for Sale in Kileleshwa Nair...
",Sky Limits Ventures,"
KSh 15,000,000
"
124,"
5 bedroom house for sale in Lower Kabete
","

Lower Kabete, Westlands, Nairobi, Lower Kabete, Westlands

","
8500 ft²
","
5
","








5

","
5 bed home on one acre, Lower Kabete, Westlands...
",Fit Property,"
KSh 210,000,000
"
125,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








2
 
","
3 Bedroom Apartment for Sale in Kilimani
",Ring Kenya Ltd,"
KSh 10,500,000
"
126,"
2 bedroom apartment for sale in Kilimani
","

kindaruma road, Kilimani, Dagoretti North

","
90 m²
","
2
","








2

","
2 bedrooms from 8.5m
",Round The Clock Homes,"
KSh 8,500,000
"
127,"
Studio apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
0
","








1

","
For sale Lovely studio apartment in Kileleshwa
",Trisums Investments Company Ltd,"
KSh 8,500,000
"
128,"
0.9 ac land for sale in Lavington
","

James Gichuru Road, James Gichuru Road, Lavington, Dagoretti North

",-,-,-,"
0.9 Acres prime property for sale at Lavington
",THE GRAND RAVIX LIMITED,"
KSh 160,000,000
"
129,"
3 bedroom apartment for sale in Thika Road
 ","

Kamiti road, Thika Road, Thika Road

",-,"
3
","








2

","
Jacaranda Gardens
",Greenday Properties,"
KSh 13,000,000
"
130,"
3 bedroom apartment for sale in Lavington
","

Lavington, Lavington, Dagoretti North

",-,"
3
","








4

","
3 bedroom apartment for sale
",Origin Homes,"
KSh 19,000,000
"
131,"
3 bedroom apartment for sale in Kilimani
","

Nairobi, Argwings Kodhek, Kilimani, Dagoretti North

",-,"
3
","








3

","
2 & 3 Bedroom Apartments For Sale Off Argwings...
",Coral Property International Ltd,"
KSh 15,000,000
"
