property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price
"
Furnished 2 bedroom apartment for sale in Upper Hill
","

Upper Hill, Langata

","
95 m²
","
2
","








3

","
Laurel Hill Suites - 2 Bed All Ensuite
",Laureland Homes,"
KSh 13,600,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








4

","
3 bedroom apartment for sale in kileleshwa
",Sarabi Realty Group,"
KSh 9,500,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
2
","








3

","
2 bedroom apartment for sale in kileleshwa
",Sarabi Realty Group,"
KSh 8,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Oloitoktok, Kileleshwa, Dagoretti North

","
95 m²
","
2
","








2

","
2 Bedrooms in Kileleshwa for Sale
",Abode Realty,"
KSh 8,500,000
"
"
3 bedroom apartment for sale in Baraka/Nyayo
","

Outering road, Baraka/Nyayo, Embakasi

",-,"
3
","








3

","
3 Bedroom apartment for sale any Nyayo Estate
",Balcony Realtors,"
KSh 7,900,000
"
"
5 bedroom house for sale in Garden Estate
","

Garden Estate, Roysambu

",-,"
5
","








4

","
Garden Estate/Ridgeways 5 bedroom house for sal...
",Standard Shelters Limited,"
KSh 59,000,000
"
"
2 bedroom apartment for sale in Brookside
","

Brookside, Westlands

",-,"
2
","








2

","
two bedroom apartment with DSQ all ensuite
",Stop Properties Real Estate,"
KSh 17,500,000
"
"
3 bedroom apartment for sale in Lavington
","

107w, Riara Road, Lavington Green, Lavington, Dagoretti North

","
1900 ft²
","
3
","








3

","
Sophisticated elegant three bedroom apartment t...
",Ace Realtors Limited,"
KSh 15,000,000
"
"
4 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Kileleshwa, Dagoretti North

","
4200 ft²
","
4
","








5

","
DUPLEX 4BEDROOM. 1DSQ - READY FOR OCCUPATION
",Balis Properties,"
KSh 55,000,000
"
"
3 bedroom apartment for sale in Kilimani
","

Off Argwings Khondek, Kilimani, Dagoretti North

","
230 m²
","
3
","








4

","
FULLY FURNISHED 3 BEDROOMS ALL ENSUITE FOR SALE...
",Abode Realty,"
KSh 28,000,000
"
"
4 bedroom apartment for sale in Lavington
","

Othaya road, Lavington, Dagoretti North

","
2272 ft²
","
4
","








5

","
4 bedrooms + SQ All ensuite apartment for sale...
",Abode Realty,"
KSh 21,000,000
"
"
3 bedroom apartment for sale in Lavington
","

Othaya road, Lavington, Dagoretti North

","
207 m²
","
3
","








4

","
3 Bedrooms all ensuite in Lavington
",Abode Realty,"
KSh 17,800,000
"
"
2 bedroom apartment for sale in Lavington
","

Hatheru road, Lavington, Dagoretti North

","
1370 ft²
","
2
","








3

","
2 BEDROOMS ALL ENSUITE FOR SALE IN LAVINGTON
",Abode Realty,"
KSh 12,000,000
"
"
4 bedroom house for sale in Loresho
","

Loresho, Westlands

",-,"
4
","








5

","
EXCLUSIVE, HIGH END AND SUPERIOR MAISONETTES FO...
",Arneel Homes,"
KSh 107,500,000
"
"
4 bedroom apartment for sale in Lavington
","

Off Argwings Khondek, Lavington, Dagoretti North

","
245 m²
","
4
","








5

","
4 BEDROOMS ALL ENSUITE WITH DSQ FOR SALE
",Abode Realty,"
KSh 20,000,000
"
"
3 bedroom apartment for sale in Riverside
","

Riverside, Westlands

",-,"
3
 ","








4

","
Modern minimalist apartments for sale in Rivers...
",GiiV Realty,"
KSh 45,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Tabere Lane, Kileleshwa, Dagoretti North

","
126 m²
","
3
","








3

","
3 bedroom+DSQ-Alina Ridge
",Wonder Properties,"
KSh 11,700,000
"
"
5 bedroom apartment for sale in Lavington
","

3620, Gitanga Road, Lavington, Dagoretti North

",-,"
5
","








6

","
Peaceful Living with Uninterrupted Urban Views...
",-,"
KSh 29,500,000
"
"
4 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
4
","








5

","
Spacious & well proportioned 4 bedroom apartmen...
",GiiV Realty,"
KSh 23,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

kileleshwa, kileleshwa, Kileleshwa, Dagoretti North

","
126 m²
","
3
","








3

","
modern 3 bedroom for sale
",Round The Clock Homes,"
KSh 10,500,000
"
"
3 bedroom apartment for sale in Riverside
","

Riverside, Westlands

","
165 m²
","
3
","








3

","
3 Bedroom apartment for sale
",Abode Realty,"
KSh 16,500,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kindaruma Rd, Kilimani, Dagoretti North

","
77 m²
","
2
","








2

","
2 BR Apartment located along Kindaruma Rd Kilim...
",Prima Properties Ke,"
KSh 7,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
155 m²
","
3
","








3

","
3 BEDROOMS APARTMENT + DSQ IN KILELESHWA
",Abode Realty,"
KSh 16,000,000
"
"
4 bedroom apartment for sale in Lavington
","

Hatheru road, Lavington, Dagoretti North

","
245 m²
","
4
","








5

","
Elegant 4 Bedrooms with Dsq Apartment for sale
",Abode Realty,"
KSh 22,000,000
"
"
4 bedroom villa for sale in Lavington
","

Lavington, Dagoretti North

",-,"
4
","








5

","
4 Bedroom Villa in Lavington
",GiiV Realty,"
KSh 85,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

KILIMANI, KILIMANI, Kilimani, Dagoretti North

","
80 m²
","
2
","








2

","
2 BEDROOM FOR SALE
",Round The Clock Homes,"
KSh 7,000,000
"
"
3 bedroom apartment for sale in Kilimani
","

KILIMANI, Kilimani, Dagoretti North

","
148 m²
","
3
","








3

","
Ready for occupation 12m all en-suite
",Round The Clock Homes,"
KSh 12,000,000
"
"
3 bedroom apartment for sale in Parklands
","

Parklands, Westlands

",-,"
3
",-,"
3 BED PARKLANDS APT
",Splendour Real Estate,"
KSh 18,000,000
"
"
4 bedroom house for sale in Thome
","

Toto Lane, Thome, Roysambu

",-,"
4
","








4

","
A 4 Bedroom House For Sale
",The HouSwitch Haven Ltd,"
KSh 47,000,000
"
"
2 bedroom apartment for sale in Ngong Road
","

Ngong Road, Ngong Road, Ngong Road

",-,"
2
","








2

","
A 2 Bedroom apartment for sale on Ngong Road
",The HouSwitch Haven Ltd,"
KSh 7,800,000
"
"
2 bedroom apartment for sale in Lower Kabete
","

Off Lower Kabete road, Lower Kabete, Westlands

",-,"
2
","








2

","
A 2 Bedroom apartment for sale in Lower Kabete
",The HouSwitch Haven Ltd,"
KSh 5,800,000
"
"
2 bedroom apartment for sale in Kahawa West
","

Church Road, Off Kamiti Road, Kahawa West, Roysambu

",-,"
2
","








3

","
A 2 Bedroom apartment for sale in Kahawa West
",The HouSwitch Haven Ltd,"
KSh 5,500,000
"
"
3 bedroom townhouse for sale in Donholm
","

Off Outering Road, Donholm, Embakasi

","
1880 ft²
","
3
","








2

","
A 3 Bedroom Townhouse for sale in Donholm
",The HouSwitch Haven Ltd,"
KSh 8,700,000
"
"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Kilimani, Dagoretti North

","
140 m²
","
3
","








4

","
3BEDROOM ALL ENSUITE APARTMENT
",Balis Properties,"
KSh 13,000,000
"
"
0.35 ac residential land for sale in Embakasi Estate
","

Embakasi Estate, Embakasi

",-,-,-,"
Plots for Sale in Embakasi
",Tysons Limited,"
KSh 23,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Othaya Road, Kileleshwa, Dagoretti North

",-,"
3
","








3

","
Apartments for sale in Kileleshwa
",The HouSwitch Haven Ltd,"
KSh 10,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Othaya road, Kileleshwa, Dagoretti North

","
207 m²
","
3
","








4

","
3 bedrooms all EnSite with DSQ for sale in Lavi...
",Abode Realty,"
KSh 18,000,000
"
"
5 bedroom apartment for sale in Lavington
","

Oledume, Lavington, Dagoretti North

","
295 m²
","
5
","








6

","
5 BEDROOMS ALL ENSUITE WITH DSQ
",Abode Realty,"
KSh 27,000,000
"
"
5 bedroom apartment for sale in Lavington
","

Oledume, Lavington, Dagoretti North

","
315 m²
","
5
","








6

","
5 BEDROOMS APARTMENT ALL ENSUITE WITH DSQ FOR S...
",Abode Realty,"
KSh 29,000,000
"
"
4 bedroom apartment for sale in Kilimani
","

Oledume, Kilimani, Dagoretti North

","
246 m²
","
4
","








5

","
4 bedrooms all Ensuite with DSQ apartment for...
",Abode Realty,"
KSh 23,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

KILELESHWA, KILELESHWA, Kileleshwa, Dagoretti North

","
91 m²
","
2
","








2

","
2 BEDROOM FOR SALE
",Round The Clock Homes,"
KSh 7,200,000
"
"
1 bedroom apartment for sale in Kileleshwa
","

Oloitoktok road, Kileleshwa, Dagoretti North

",-,"
1
","








2

","
1 BEDROOM APARTMENT FOR IN KILELESHWA
",Abode Realty,"
KSh 7,500,000
"
"
2 bedroom apartment for sale in Kilimani
","

KILIMANI, KILIMANI, Kilimani, Dagoretti North

","
115 m²
","
2
","








2

","
2 BEDROOM FOR SALE
",Round The Clock Homes,"
KSh 8,000,000
"
"
3 bedroom apartment for sale in Ngong Road
","

Ngong rd, Ngong Road, Ngong Road

","
120 m²
","
3
","








2

","
3 Bedroom apartment for sale in Ngong road
",Abode Realty,"
KSh 9,800,000
"
"
2 bedroom apartment for sale in Ngong Road
","

Ngong Road, Ngong Road

","
90 m²
","
2
","








2

","
2 Bedrooms apartment on Ngong rd
",Abode Realty,"
KSh 7,800,000
"
"
4 bedroom apartment for sale in Kilimani
","

KILIMANI, KILIMANI, Kilimani, Dagoretti North

","
232 m²
","
4
","








5

","
Ready to move in ,4 bedroom all ensuite plus ds...
",Round The Clock Homes,"
KSh 19,000,000
"
"
1 bedroom apartment for sale in Kileleshwa
","

KILELESHWA, Kileleshwa, Dagoretti North

","
40 m²
","
1
","








1

","
AFFORDABLE 1 BEDROOM FOR SALE IN KILELESHWA
",Round The Clock Homes,"
KSh 4,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

KILELESHWA, KILELESHWA, Kileleshwa, Dagoretti North

","
120 m²
","
3
","








3

","
 X-MAS OFFER ;3 BEDROOM FOR SALE
",Round The Clock Homes,"
KSh 9,900,000
"
"
5 bedroom townhouse for sale in Lavington
","

Mwabane rd, Lavington, Dagoretti North

","
650 m²
","
5
","








5

","
MODERN 5 BEDROOM TOWNHOUSES FOR SALE IN LAVINGT...
",Abode Realty,"
KSh 100,000,000
"
"
5 bedroom apartment for sale in Kilimani
","

Oledume, Kilimani, Dagoretti North

","
295 m²
","
5
","








6

","
5 Bedrooms all ensuite with DSQ for sale in Kil...
",Abode Realty,"
KSh 27,000,000
"
"
Furnished 3 bedroom apartment for sale in Spring Valley
","

Brookside Drive, Spring Valley, Westlands

","
2000 ft²
","
3
","








4

","
By owner, Furnished 3 bedroom apartment for sal...
",-,"
KSh 25,000,000
"
"
2 bedroom apartment for sale in Riruta
","

Riruta, Dagoretti South

",-,"
2
","








2

","
Aspire Heights Riruta - 2 Bed Apartment
",-,"
KSh 6,500,000
"
"
4 bedroom house for sale in Karen
","

Ngong View Lane, Karen, Langata

",-,"
 4
","








5

","
A 4 Bedroom House for sale in Karen
",The HouSwitch Haven Ltd,"
KSh 65,000,000
"
"
4 bedroom house for sale in Loresho
","

Mukabi Drive, Loresho, Westlands

",-,"
4
","








3

","
A house for sale in Loresho
",The HouSwitch Haven Ltd,"
KSh 70,000,000
"
"
2 ac land for sale in Industrial Area
","

Adisababa Road, Adisababa Road, Industrial Area, Embakasi

","
2 ac
",-,-,"
2 Acres of Land for sale in Industrial area
",The HouSwitch Haven Ltd,"
KSh 320,000,000
"
"
10000 ft² warehouse for sale in Mombasa Road
","

Mombasa Road, Mombasa Road

","
10000 ft²
",-,-,"
Godown Apprx 10,000 sqft for sale off Mombasa r...
",Standard Shelters Limited,"
KSh 50,000,000
"
"
8726 ft² warehouse for sale in Mombasa Road
","

Mombasa Road, Mombasa Road

","
8726 ft²
",-,-,"
Godown Apprx 8,725 sqft for sale Mombasa road
",Standard Shelters Limited,"
KSh 60,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
140 m²
","
2
","








2

","
2 Bedrooms apartment for sale
",Abode Realty,"
KSh 15,800,000
"
"
4 bedroom apartment for sale in Lavington
","

Oledume, Lavington, Dagoretti North

","
246 m²
","
4
","








5

","
4 BEDROOMS ALL ENSUITE WITH DSQ IN LAVINGTON.
",Abode Realty,"
KSh 23,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
90 m²
","
2
 ","








2

","
SPACIOUS 2 BEDROOM APARTMENT FOR SALE IN KILIMA...
",Abode Realty,"
KSh 8,000,000
"
"
3 bedroom apartment for sale in Kilimani
","

kilimani, Kilimani, Dagoretti North

","
165 m²
","
3
","








4

","
MODERN 3 BEDROOMS APARTMENT FOR SALE IN KILIMAN...
",Abode Realty,"
KSh 12,300,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
188 m²
","
3
","








4

","
New 3 Bedrooms all ensuite with DSQ in Kileles...
",Abode Realty,"
KSh 16,900,000
"
"
4 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

","
265 m²
","
4
","








5

","
4 BEDROOM ALL ENSUITE + DSQ
",Abode Realty,"
KSh 23,500,000
"
"
3 bedroom apartment for sale in Kilimani
","

Kindaruma, Kilimani, Dagoretti North

",-,"
3
","








3

","
3 bedrooms master En-suite ready for occupation
",Abode Realty,"
KSh 15,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
90 m²
","
2
","








2

","
2 BEDROOM READY FOR OCUPATION
",Round The Clock Homes,"
KSh 8,000,000
"
"
1.5 ac land for sale in Old Muthaiga
","

Limuru Road, Old Muthaiga, Muthaiga

","
1 ac
",-,-,"
1.5 Acre for Sale in Muthaiga
",The HouSwitch Haven Ltd,"
KSh 150,000,000
"
"
3 bedroom apartment for sale in Rhapta Road
","

Rhaphta Road, Rhapta Road, Westlands

",-,"
3
",-,"
Rhaphta Road, Apartments - FOR SALE
",FAPCL Group,"
KSh 15,000,000
"
"
1 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
1
","








1

","
Wilma Towers – Manhattan Style ~ Effortlessly L...
",VAAL Real Estate,"
KSh 7,100,000
"
"
4 bedroom apartment for sale in General Mathenge
","

254, General Mathenge Gardens, General Mathenge, Westlands

","
3445 ft²
","
4
","








5

","
4 bedroom duplex
",-,"
KSh 31,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
120 m²
","
2
","








3

","
2 bedroom all ensuite with 2 balconies
",Abode Realty,"
KSh 12,500,000
"
"
1 bedroom apartment for sale in Kilimani
","

Wood Avenue, Kilimani, Dagoretti North

","
55 m²
","
1
","








 1

","
Modern 1 bedroom for sale in Kilimani
",Abode Realty,"
KSh 4,500,000
"
"
3 bedroom apartment for sale in Lavington
","

Off Gitanga rd, Lavington, Dagoretti North

","
140 m²
","
3
","








3

","
3 BEDROOM PLUS DSQ FOR SALE IN LAVINGTON FOR SA...
",Abode Realty,"
KSh 12,500,000
"
"
4 bedroom apartment for sale in Kileleshwa
","

Othaya road, Kileleshwa, Dagoretti North

","
245 m²
","
4
","








5

","
4 BEDROOM ALL ENSUITE + DSQ IN KILELESHWA
",Abode Realty,"
KSh 25,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
99 m²
","
2
","








2

","
2 bedrooms apartment for sale
",Abode Realty,"
KSh 6,990,000
"
"
0.5 ac land for sale in Loresho
","

Loresho, Westlands

",-,-,-,"
Prime 0.5 acre for Sale in Loresho
",Dayfield Agencies,"
KSh 40,000,000
"
"
0.5 ac land for sale in Parklands
","

Fourth Parklands Avenue, Parklands, Westlands

",-,-,-,"
Prime 0.5 acre Plot in Parklands
",Dayfield Agencies,"
KSh 220,000,000
"
"
2 ac land for sale in Runda
","

Runda, Westlands

","
2 ac
",-,-,"
RUNDA : 2 Acre Vacant Land – For Sale
",Zyve,"
KSh 150,000,000
"
"
2.5 ac land for sale in Loresho
","

Loresho, Westlands

","
2 ac
",-,-,"
2.5 Acres of Land for sale in Loresho
",The HouSwitch Haven Ltd,"
KSh 160,000,000
"
"
809 m² land for sale in Karen
","

Southern By Pass, Karen, Langata

","
809 m²
",-,-,"
1/2 Acre Land for sale in Karen
",The HouSwitch Haven Ltd,"
KSh 38,000,000
"
"
1 ac land for sale in Karen
","

Karen, Langata

","
1 ac
",-,-,"
3 Acres Vacant Land Available For Sale in Kerar...
",GiiV Realty,"
KSh 42,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Mugoiri Rd, Kileleshwa, Dagoretti North

","
150 m²
","
3
","








4

","
3 BR apartments (master en-suite plus DSQ) alon...
",Prima Properties Ke,"
KSh 16,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








4

","
3Bdrm En-Suite + DSQ En-Suite Apartments - Kile...
",Good Living Properties Ltd,"
KSh 21,000,000
"
"
0.5 ac land for sale in Riverside
","

Riverside Drive, Riverside, Westlands

",-,-,-,"
0.5 acres of Prime Land in the heart of Riversi...
",Pinder Bassi,"
KSh 160,000,000
"
"
4 bedroom house for sale in Ridgeways
","

Ridgeways, Ridgeways

","
4088 m²
","
4
","








4

","
Height of Style – Garden Estate, Ridgeways
",Realty Plus,"
KSh 47,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
 ","

Kileleshwa, Nyeri Road, Kileleshwa, Dagoretti North

","
1451 ft²
","
 2
","








2

","
The Marquis Apartments in Kileleshwa for SALE
",Hayer One Group,"
KSh 18,500,000
"
"
5 bedroom house for sale in Karen
","

Oloolua Ridge, Oloolua Ridge, Karen, Langata

","
2023 m²
","
5
","








6

","
5 Bedroom Villa in Karen close to KCB Leadershi...
",Laser Property Services Ltd,"
KSh 89,000,000
"
"
0.5 ac land for sale in Garden Estate
","

Garden Estate, Roysambu

",-,-,-,"
Lucrative 0.5 Acre Plots in Garden Estate
",Homeowners Eye,"
KSh 40,000,000
"
"
4 bedroom house for sale in Parklands
","

Parklands, Westlands

",-,"
4
","








3

","
4BEDROOM MASSIONATE IN PARKLANDS
",Tiki Properties,"
KSh 35,000,000
"
"
4 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
4
","








5

","
4 Bedrooms Apartment For sale Kileleshwa
",Naftal Properties,"
KSh 28,500,000
"
"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
","








4

","
3 bedroom apartment for sale
",Sarabi Realty Group,"
KSh 12,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
2
","








2

","
Kileleshwa 2, 3, 3.5, & 4 Bedroom Duplexes Pen...
",J.M McCarthy Properties Ltd,"
KSh 17,400,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Nyeri Rd., Kileleshwa, Dagoretti North

","
135 m²
","
2
","








3

","
2, 3 and 4 Bed duplex plus SQ from 18.5 M
",Prima Properties Ke,"
KSh 18,500,000
"
"
 3 bedroom apartment for sale in Kilimani
","

Kirichwa Place, Kilimani, Dagoretti North

","
109 m²
","
3
","








3

","
Kirichwa Place - 2 & 3 bedroom apartments for s...
",Westlands Avenue Consult,"
KSh 11,000,000
"
"
2024 m² residential land for sale in Kitisuru
","

Kinanda Road, Kitisuru, Westlands

","
2024 m²
",-,-,"
0.5 Acres Prime Plot In Kitisuru West(Behind I....
",Simkar Group Limited,"
KSh 45,000,000
"
"
1.1 ac residential land for sale in Lavington
","

Lavington, Dagoretti North

","
1 ac
",-,-,"
Prime Land for Sale in Lavington
",Sky Limits Ventures,"
KSh 200,000,000
"
"
2 bedroom apartment for sale in Rhapta Road
","

Rhapta Road, Westlands

","
1490 ft²
","
2
","








2

","
1,2&3 Bedrooms For Sale
",Rockfield Management Ltd,"
KSh 20,000,000
"
